row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2025VND,2024VND,,
Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,,
Các công ty con thuộc Khối Xăng dầu trực thuộc,Các công ty con thuộc Khối Xăng dầu trực thuộc,Các công ty con thuộc Khối Xăng dầu trực thuộc,Các công ty con thuộc Khối Xăng dầu trực thuộc,Các công ty con thuộc Khối Xăng dầu trực thuộc,,
Bán hàng hóa,Các công ty con thuộc Khối Xăng dầu trực thuộc > Bán hàng hóa,Bán hàng hóa,174.595.243.235.148,175.749.095.375.048,174595243235148.0,175749095375048.0
Chi phí hàng giữ hộ,Các công ty con thuộc Khối Xăng dầu trực thuộc > Chi phí hàng giữ hộ,Chi phí hàng giữ hộ,1.087.975.838.886,1.058.492.902.115,1087975838886.0,1058492902115.0
Lợi nhuận được chia,Các công ty con thuộc Khối Xăng dầu trực thuộc > Lợi nhuận được chia,Lợi nhuận được chia,369.048.000.249,115.325.539.785,369048000249.0,115325539785.0
Lãi bán hàng trả chậm và sử dụng vốn,Các công ty con thuộc Khối Xăng dầu trực thuộc > Lãi bán hàng trả chậm và sử dụng vốn,Lãi bán hàng trả chậm và sử dụng vốn,14.790.875.970,14.243.396.754,14790875970.0,14243396754.0
Chi phí lãi bán hàng trả chậm và sử dụng vốn,Các công ty con thuộc Khối Xăng dầu trực thuộc > Chi phí lãi bán hàng trả chậm và sử dụng vốn,Chi phí lãi bán hàng trả chậm và sử dụng vốn,59.748.445.231,60.485.757.485,59748445231.0,60485757485.0
Các công ty con cấp 1 khác,Các công ty con cấp 1 khác,Các công ty con cấp 1 khác,Các công ty con cấp 1 khác,Các công ty con cấp 1 khác,,
Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,,
Mua hàng hóa và dịch vụ,Công ty TNHH MTV Petrolimex Singapore > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,41.832.829.241.816,46.825.636.274.112,41832829241816.0,46825636274112.0
Cổ tức được chia,Công ty TNHH MTV Petrolimex Singapore > Cổ tức được chia,Cổ tức được chia,120.088.430.069,132.134.497.560,120088430069.0,132134497560.0
Lãi từ chiết khấu thanh toán,Công ty TNHH MTV Petrolimex Singapore > Lãi từ chiết khấu thanh toán,Lãi từ chiết khấu thanh toán,48.604.013.509,72.179.101.256,48604013509.0,72179101256.0
Phí đổi nhật được hưởng,Công ty TNHH MTV Petrolimex Singapore > Phí đổi nhật được hưởng,Phí đổi nhật được hưởng,26.064.720.584,105.052.258.858,26064720584.0,105052258858.0
Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,,
Bán hàng hóa,Công ty TNHH MTV Petrolimex Lào > Bán hàng hóa,Bán hàng hóa,29.210.337.713,79.652.839.519,29210337713.0,79652839519.0
