row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018
,,,VND,VND,,
- Giá trị hàng hóa và dịch vụ,- Giá trị hàng hóa và dịch vụ,- Giá trị hàng hóa và dịch vụ,53.307.181.561,44.916.585.749,53307181561.0,44916585749.0
- Giá trị đầu thổ mua ủy thác,- Giá trị đầu thổ mua ủy thác,- Giá trị đầu thổ mua ủy thác,28.827.057.789.859,24.119.941.320.928,28827057789859.0,24119941320928.0
- Các khoản ủy thác khác,- Các khoản ủy thác khác,- Các khoản ủy thác khác,14.844.541.472,6.266.265.061,14844541472.0,6266265061.0
,,,28.895.209.512.892,24.171.124.171.738,28895209512892.0,24171124171738.0
,,,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),,
,,,VND,VND,,
Hoàn trả vốn về Tập đoàn,Hoàn trả vốn về Tập đoàn,Hoàn trả vốn về Tập đoàn,,,,
Tập đoàn Dầu khí Việt Nam,Hoàn trả vốn về Tập đoàn > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,-,1.127.802.519.804,,1127802519804.0
Nộp lợi nhuận,Nộp lợi nhuận,Nộp lợi nhuận,,,,
Tập đoàn Dầu khí Việt Nam,Nộp lợi nhuận > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,4.850.000.000.000,1.995.466.476.103,4850000000000.0,1995466476103.0
Thu nhập của Ban Tổng Giám đốc,Nộp lợi nhuận > Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,8.613.130.000,4.650.630.000,8613130000.0,4650630000.0
