row_label_raw,row_label_full,Ông Lê Xuân Huyên,Chủ tịch,numeric__Chủ tịch
Ông Bùi Minh Tiến,Ông Bùi Minh Tiến,Ông Bùi Minh Tiến,Ủy viên (Bỗ nhiệm ngày 14 tháng 01 năm 2019),
Ông Trần Ngọc Nguyên,Ông Trần Ngọc Nguyên,Ông Trần Ngọc Nguyên,Ủy viên (Miễn nhiệm ngày 14 tháng 01 năm 2019),
Ông Nguyễn Quang Hòa,Ông Nguyễn Quang Hòa,Ông Nguyễn Quang Hòa,Ủy viên,
Ông Hà Đồng,Ông Hà Đồng,Ông Hà Đồng,Ủy viên,
Ông Nguyễn Bá Phước,Ông Nguyễn Bá Phước,Ông Nguyễn Bá Phước,Ủy viên,
