row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018VND,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lai)VND,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018VND,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lai)VND
Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,19.805.471.589.431,21.328.994.404.877,19805471589431.0,21328994404877.0
Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,9.637.356.820.369,7.062.180.551.779,9637356820369.0,7062180551779.0
Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,14.087.241.162.978,13.218.358.154.486,14087241162978.0,13218358154486.0
Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,3.595.667.801.631,4.045.404.906.490,3595667801631.0,4045404906490.0
Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,3.856.258.438.396,2.956.420.823.938,3856258438396.0,2956420823938.0
Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,2.289.339.406.970,1.583.501.287.117,2289339406970.0,1583501287117.0
Giá vốn hàng bán Dâu nhiên liệu FO,Giá vốn hàng bán Dâu nhiên liệu FO,Giá vốn hàng bán Dâu nhiên liệu FO,1.098.911.362.503,1.207.602.340.826,1098911362503.0,1207602340826.0
Giá vốn Xăng sinh học E5,Giá vốn Xăng sinh học E5,Giá vốn Xăng sinh học E5,412.481.947.603,321.600.922.329,412481947603.0,321600922329.0
Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,31.270.648.233,34.200.203.273,31270648233.0,34200203273.0
Giá vốn hàng bán Propylene,Giá vốn hàng bán Propylene,Giá vốn hàng bán Propylene,584.756.989,567.950.548,584756989.0,567950548.0
Trích lập/(hoền nhập) dự phòng giảm giá hàng tôn kho,Trích lập/(hoền nhập) dự phòng giảm giá hàng tôn kho,Trích lập/(hoền nhập) dự phòng giảm giá hàng tôn kho,253.662.407.679,(12.503.982.765),253662407679.0,-12503982765.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,7.720.287.106,2.704.255.235,7720287106.0,2704255235.0
,,,55.075.966.629.888,51.749.031.818.133,55075966629888.0,51749031818133.0
