row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Chênh lệch tỷ giá hối doài,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Chênh lệch tỷ giá hối doài,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư tại ngày 01 tháng 01 năm 2018Điều chính hồi tố thuế nhập khẩu,Số dư tại ngày 01 tháng 01 năm 2018Điều chính hồi tố thuế nhập khẩu,Số dư tại ngày 01 tháng 01 năm 2018Điều chính hồi tố thuế nhập khẩu,28.601.997.800.456,-,5.675.629.749.730,-,34.277.627.550.186,28601997800456.0,,5675629749730.0,,34277627550186.0
Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,-,-,-,(275.988.508.141),(275.988.508.141),,,,-275988508141.0,-275988508141.0
Điều chính tạm trích Quỹ đầu tư phát triển,Điều chính tạm trích Quỹ đầu tư phát triển,Điều chính tạm trích Quỹ đầu tư phát triển,-,-,(82.000.000.000),82.000.000.000,-,,,-82000000000.0,82000000000.0,
Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,-,-,-,193.988.508.141,193.988.508.141,,,,193988508141.0,193988508141.0
Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36),Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36),Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36),-,-,-,-,-,,,,,
Điều chính lợi nhuận năm 2017,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,-,-,-,163.168.404.348,163.168.404.348,,,,163168404348.0,163168404348.0
Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,-,-,-,(163.168.404.348),(163.168.404.348),,,,-163168404348.0,-163168404348.0
Số dư tại ngày 01 tháng 01 năm 2018(Trình bày lại),Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Số dư tại ngày 01 tháng 01 năm 2018(Trình bày lại),Số dư tại ngày 01 tháng 01 năm 2018(Trình bày lại),28.601.997.800.456,-,5.593.629.749.730,-,34.195.627.550.186,28601997800456.0,,5593629749730.0,,34195627550186.0
Lợi nhuận trong kỳ,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,3.451.031.872.479,3.451.031.872.479,,,,3451031872479.0,3451031872479.0
