row_label_raw,row_label_full,col_0,01/7/2018 > Giá trị,01/7/2018 > VND Số có khả năng trả nợ,01/7/2018 > Tăng,Trong kỳ > VND Giảm,Trong kỳ > Giá trị,31/12/2018 > VND Số có khả năng trả nợ,numeric__01/7/2018 > Giá trị,numeric__01/7/2018 > VND Số có khả năng trả nợ,numeric__01/7/2018 > Tăng,numeric__Trong kỳ > VND Giảm,numeric__Trong kỳ > Giá trị,numeric__31/12/2018 > VND Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,10.266.379.173.300,10.266.379.173.300,-,1.221.639.036.106,9.044.740.137.194,9.044.740.137.194,10266379173300.0,10266379173300.0,,1221639036106.0,9044740137194.0,9044740137194.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,10.266.379.173.300,10.266.379.173.300,-,1.221.639.036.106,9.044.740.137.194,9.044.740.137.194,10266379173300.0,10266379173300.0,,1221639036106.0,9044740137194.0,9044740137194.0
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,2.626.868.133.300,,,,,2.291.723.317.194,2626868133300.0,,,,,2291723317194.0
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,7.639.511.040.000,,,,,6.753.016.820.000,7639511040000.0,,,,,6753016820000.0
Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,,,,,,
,,,,,31/12/2018,,,01/7/2018,,,,,,
,,,Giá trị,Nợ dài hạn đến hạn trả,VND Nợ phải trả sau 12 tháng,Giá trị,Nợ dài hạn đến hạn trả,VND Nợ phải trả sau 12 tháng,,,,,,
Vay dài hạnNgân hàng Phát triển Việt Nam - Chỉ nhánh Quảng Ngãi,Các khoản vay dài hạn bao gồm: > Vay dài hạnNgân hàng Phát triển Việt Nam - Chỉ nhánh Quảng Ngãi,Vay dài hạnNgân hàng Phát triển Việt Nam - Chỉ nhánh Quảng Ngãi,8.682.661.900.000,1.929.645.080.000,6.753.016.820.000,9.549.572.160.000,1.910.061.120.000,7.639.511.040.000,8682661900000.0,1929645080000.0,6753016820000.0,9549572160000.0,1910061120000.0,7639511040000.0
Ngân hàng TMCP Ngoại thương Việt Nam,Các khoản vay dài hạn bao gồm: > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,362.078.237.194,362.078.237.194,-,716.807.013.300,716.807.013.300,-,362078237194.0,362078237194.0,,716807013300.0,716807013300.0,
,,,9.044.740.137.194,2.291.723.317.194,6.753.016.820.000,10.266.379.173.300,2.626.868.133.300,7.639.511.040.000,9044740137194.0,2291723317194.0,6753016820000.0,10266379173300.0,2626868133300.0,7639511040000.0
