row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền trả lại vốn góp cho các chủ sở hữu,32,,(1.127.802.519.804),,32.0,,-1127802519804.0
2.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,4.290.000.000.000,9.234.000.000.000,,33.0,4290000000000.0,9234000000000.0
3.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(7.131.479.211.573),(10.730.921.300.938),,34.0,-7131479211573.0,-10730921300938.0
4.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(4.850.000.000.000),(1.995.456.476.103),,36.0,-4850000000000.0,-1995456476103.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(7.691.479.211.573),(4.620.190.296.845),,40.0,-7691479211573.0,-4620190296845.0
,,,Lưu chuyển tiền thuần trong kỳ (50=20÷30÷40),50,(6.120.629.720.736),(716.420.430.390),,50.0,-6120629720736.0,-716420430390.0
,,,Tiền và tương đương tiền đầu kỳ,60,11.861.209.118.484,12.577.677.921.023,,60.0,11861209118484.0,12577677921023.0
,,,Ảnh hưởng của thay đổi tỷ giá hõi đoai quy đổi ngoại tệ,61,(72.267.711),(48.372.149),,61.0,-72267711.0,-48372149.0
,,,Tiền và tương đương tiền cuối kỳ (70=50÷60÷61),70,5.740.507.130.037,11.861.209.118.484,,70.0,5740507130037.0,11861209118484.0
