row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018VND,Từ ngày 01/01/2018đến ngày 30/6/2018VND,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018VND,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018VND
Mua hàng,Mua hàng,Mua hàng,Mua hàng,Mua hàng,,
Tổng Công ty Dầu Việt Nam - Công ty Cổ phần (*),Mua hàng > Tổng Công ty Dầu Việt Nam - Công ty Cổ phần (*),Tổng Công ty Dầu Việt Nam - Công ty Cổ phần (*),28.895.209.512.892,24.171.124.171.738,28895209512892.0,24171124171738.0
Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí,Mua hàng > Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí,Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí,1.444.304.108.284,2.030.602.327.591,1444304108284.0,2030602327591.0
Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí (Lô 01 & 02 - Điều hành Dầu khí),Mua hàng > Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí (Lô 01 & 02 - Điều hành Dầu khí),Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí (Lô 01 & 02 - Điều hành Dầu khí),688.686.607.403,138.479.424.283,688686607403.0,138479424283.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Mua hàng > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,688.190.283.080,705.849.355.755,688190283080.0,705849355755.0
Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,Mua hàng > Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,229.595.955.753,239.947.593.196,229595955753.0,239947593196.0
Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi,Mua hàng > Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi,153.852.960.192,126.582.975.024,153852960192.0,126582975024.0
Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí (Lô 01/97 & 02/97),Mua hàng > Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí (Lô 01/97 & 02/97),Công ty TNHH NN MTV - Tổng Công ty Thăm dò Khai thác Dầu khí (Lô 01/97 & 02/97),145.609.915.227,370.433.990.868,145609915227.0,370433990868.0
Công ty Cổ phần Nhà và Thương mại Dầu khí,Mua hàng > Công ty Cổ phần Nhà và Thương mại Dầu khí,Công ty Cổ phần Nhà và Thương mại Dầu khí,95.890.517.398,83.031.105.058,95890517398.0,83031105058.0
Công ty Cổ phần Bảo dưỡng và Sửa chữa Công trình Dầu khí,Mua hàng > Công ty Cổ phần Bảo dưỡng và Sửa chữa Công trình Dầu khí,Công ty Cổ phần Bảo dưỡng và Sửa chữa Công trình Dầu khí,54.150.028.080,46.670.002.038,54150028080.0,46670002038.0
