row_label_raw,row_label_full,col_0,Nhà xuǒngvà vát kiěn trúcVND,Máy mócvà thiết biVND,Thiết bịvăn phòngVND,"Phuống tiện vântái, thiết bịtruyền đănhVND",Tài sản cố định hữuhình khácVND,TổngVND,numeric__Nhà xuǒngvà vát kiěn trúcVND,numeric__Máy mócvà thiết biVND,numeric__Thiết bịvăn phòngVND,"numeric__Phuống tiện vântái, thiết bịtruyền đănhVND",numeric__Tài sản cố định hữuhình khácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/7/2018,NGUYÊN GIÁ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,6.343.898.695.646,38.081.484.119.533,480.945.242.188,151.521.785.948,554.667.912,45.058.404.511.227,6343898695646.0,38081484119533.0,480945242188.0,151521785948.0,554667912.0,45058404511227.0
Tăng trong kỳ,NGUYÊN GIÁ > Tăng trong kỳ,Tăng trong kỳ,5.109.162.000,20.171.533.598,31.184.737.727,3.402.643.636,-,59.868.076.961,5109162000.0,20171533598.0,31184737727.0,3402643636.0,,59868076961.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,25.280.886.467,7.675.448.730,-,-,-,32.956.335.197,25280886467.0,7675448730.0,,,,32956335197.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,14.266.059,-,-,-,14.266.059,,14266059.0,,,,14266059.0
Tại ngày 31/12/2018,NGUYÊN GIÁ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,6.374.288.744.113,38.109.345.367.920,512.129.979.915,154.924.429.584,554.667.912,45.151.243.189.444,6374288744113.0,38109345367920.0,512129979915.0,154924429584.0,554667912.0,45151243189444.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày 01/7/2018,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,2.215.143.840.901,16.042.895.389.210,212.305.434.556,74.468.976.307,475.334.583,18.545.288.975.557,2215143840901.0,16042895389210.0,212305434556.0,74468976307.0,475334583.0,18545288975557.0
Khẩu hao trong kỳ,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong kỳ,Khẩu hao trong kỳ,147.166.683.401,1.052.064.348.484,38.153.862.568,6.970.947.578,9.333.336,1.244.365.175.367,147166683401.0,1052064348484.0,38153862568.0,6970947578.0,9333336.0,1244365175367.0
"Khẩu hao tài sản của dự án,tài sản cho mục đích phúc lợi","GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao tài sản của dự án,tài sản cho mục đích phúc lợi","Khẩu hao tài sản của dự án,tài sản cho mục đích phúc lợi",131.969.082,230.018.340,102.251.862,-,-,464.239.284,131969082.0,230018340.0,102251862.0,,,464239284.0
Tại ngày 31/12/2018,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.362.442.493.384,17.095.189.756.034,250.561.548.986,81.439.923.885,484.667.919,19.790.118.390.208,2362442493384.0,17095189756034.0,250561548986.0,81439923885.0,484667919.0,19790118390208.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 01/7/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 01/7/2018,Tại ngày 01/7/2018,4.128.754.854.745,22.038.588.730.323,268.639.807.632,77.052.809.641,79.333.329,26.513.115.535.670,4128754854745.0,22038588730323.0,268639807632.0,77052809641.0,79333329.0,26513115535670.0
Tại ngày 31/12/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2018,Tại ngày 31/12/2018,4.011.846.250.729,21.014.155.611.886,261.568.430.929,73.484.505.699,69.999.993,25.361.124.799.236,4011846250729.0,21014155611886.0,261568430929.0,73484505699.0,69999993.0,25361124799236.0
