row_label_raw,row_label_full,col_0,31/12/2018,01/7/2018,numeric__31/12/2018,numeric__01/7/2018
,,,VND,VND,,
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,
Tập đoàn Dầu khí Việt Nam,Phải trả khác > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,1.423.992.623.305,6.273.992.623.305,1423992623305.0,6273992623305.0
Ban Quản lý Dư án Nhà máy lọc đãu Dung Quất,Phải trả khác > Ban Quản lý Dư án Nhà máy lọc đãu Dung Quất,Ban Quản lý Dư án Nhà máy lọc đãu Dung Quất,170.383.701.042,170.383.701.042,170383701042.0,170383701042.0
Tổng Công ty Cổ phần Vận tái Dầu khí,Phải trả khác > Tổng Công ty Cổ phần Vận tái Dầu khí,Tổng Công ty Cổ phần Vận tái Dầu khí,1.215.979.468,-,1215979468.0,
,,,1.595.592.303.815,6.444.376.324.347,1595592303815.0,6444376324347.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
Tập đoàn Dầu khí Việt Nam,Phải thu khác > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,1.118.996.642,1.118.996.642,1118996642.0,1118996642.0
Công ty Cổ phần Phân bón Dầu khí Cà Mau,Phải thu khác > Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,44.444.533,44.444.533,44444533.0,44444533.0
,,,1.163.441.175,1.163.441.175,1163441175.0,1163441175.0
