row_label_raw,row_label_full,Chỉ tiêu,Mã số,Từ 01/01/2018đến 30/6/2018(Trước điều chỉnh),Điều chínhhồi tố,Từ 01/01/2018đến 30/6/2018(Sau điều chỉnh),numeric__Mã số,numeric__Từ 01/01/2018đến 30/6/2018(Trước điều chỉnh),numeric__Điều chínhhồi tố,numeric__Từ 01/01/2018đến 30/6/2018(Sau điều chỉnh)
,,,,VND,VND,VND,,,,
1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,3.652.383.071.690,(90.897.653.622),3.561.485.418.058,1.0,3652383071690.0,-90897653622.0,3561485418058.0
2. Khẩu hao tài sản cổ định,2. Khẩu hao tài sản cổ định,2. Khẩu hao tài sản cổ định,02,1.271.824.266.761,6.588.407.490,1.278.412.674.251,2.0,1271824266761.0,6588407490.0,1278412674251.0
3. Chỉ phí lãi vay,3. Chỉ phí lãi vay,3. Chỉ phí lãi vay,06,213.699.505.979,1.237.823.440,214.937.329.419,6.0,213699505979.0,1237823440.0,214937329419.0
"4. Tăng, giảm các-khoản phải thu","4. Tăng, giảm các-khoản phải thu","4. Tăng, giảm các-khoản phải thu",09,550.770.024.665,(65.937.652),560.704.087.013,9.0,550770024665.0,-65937652.0,560704087013.0
"5. Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","5. Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","5. Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,61.044.086.770,84.514.068.678,145.558.155.448,11.0,61044086770.0,84514068678.0,145558155448.0
"6. Tăng, giảm chỉ phí trẻ trước","6. Tăng, giảm chỉ phí trẻ trước","6. Tăng, giảm chỉ phí trẻ trước",12,(18.532.163.957),(1.376.708.334),(19.908.872.291),12.0,-18532163957.0,-1376708334.0,-19908872291.0
