row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyếtmình,31/12/2018,01/7/2018,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyếtmình,numeric__31/12/2018,numeric__01/7/2018
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,23.913.177.428.533,31.547.337.557.859,,100.0,,23913177428533.0,31547337557859.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,5.740.507.130.037,11.861.209.118.484,,110.0,4.0,5740507130037.0,11861209118484.0
1.,1.,1.,Tiền,111,,905.877.434.528,1.576.579.422.975,,111.0,,905877434528.0,1576579422975.0
2.,2.,2.,Các khoản tương đương tiền,112,,4.834.629.695.509,10.284.629.695.509,,112.0,,4834629695509.0,10284629695509.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.000.000.000,2.000.000.000,,120.0,5.0,2000000000.0,2000000000.0
1.,1.,1.,Đầu tư năm giữ đến ngày đáo hạn,123,,2.000.000.000,2.000.000.000,,123.0,,2000000000.0,2000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,8.911.615.191.594,10.446.745.613.190,,130.0,,8911615191594.0,10446745613190.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,8.749.427.049.423,10.282.005.673.432,,131.0,6.0,8749427049423.0,10282005673432.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,124.038.077.821,94.697.196.015,,132.0,7.0,124038077821.0,94697196015.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,33.902.094.807,64.038.826.069,,136.0,8.0,33902094807.0,64038826069.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,4.247.969.543,6.003.917.674,,139.0,,4247969543.0,6003917674.0
IV.,IV.,IV.,Hàng tồn kho,140,9,9.188.786.184.058,9.098.310.705.254,,140.0,9.0,9188786184058.0,9098310705254.0
1.,1.,1.,Hàng tồn kho,141,,9.442.448.591.737,9.098.310.705.254,,141.0,,9442448591737.0,9098310705254.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(253.662.407.679),-,,149.0,,-253662407679.0,
V.,V.,V.,Tài sản ngắn hạn khác,150,,70.268.922.844,139.072.120.931,,150.0,,70268922844.0,139072120931.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,10,16.218.538.206,136.276.006.041,,151.0,10.0,16218538206.0,136276006041.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,31.214.090,81.818,,152.0,,31214090.0,81818.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,54.019.170.548,2.796.033.072,,153.0,15.0,54019170548.0,2796033072.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,27.934.095.552.799,29.037.884.860.395,,200.0,,27934095552799.0,29037884860395.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,525.170.152.590,483.215.132.617,,210.0,,525170152590.0,483215132617.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,521.395.822.590,483.215.132.617,,212.0,7.0,521395822590.0,483215132617.0
2.,2.,2.,Phải thu về cho vay dài hạn,215,,3.774.330.000,-,,215.0,,3774330000.0,
II.,II.,II.,Tài sản cố định,220,,25.768.388.710.070,26.905.452.126.489,,220.0,,25768388710070.0,26905452126489.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,25.361.124.799.236,26.513.115.535.670,,221.0,11.0,25361124799236.0,26513115535670.0
,,,- Nguyên giả,222,,45.151.243.189.444,45.058.404.511.227,,222.0,,45151243189444.0,45058404511227.0
,,,- Giá trị hao mòn lũy kế,223,,(19.790.118.390.208),(18.545.288.975.557),,223.0,,-19790118390208.0,-18545288975557.0
2.,2.,2.,Tài sản cố định vô hình,227,12,407.263.910.834,392.336.590.819,,227.0,12.0,407263910834.0,392336590819.0
,,,- Nguyên giả,228,,769.088.948.251,715.446.278.832,,228.0,,769088948251.0,715446278832.0
,,,- Giá trị hao mòn lũy kế,229,,(361.825.037.417),(323.109.688.013),,229.0,,-361825037417.0,-323109688013.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,986.737.352.963,961.326.003.482,,240.0,,986737352963.0,961326003482.0
1.,1.,1.,Chi phí xây dựng cơ bền dở dang,242,13,986.737.352.963,961.326.003.482,,242.0,13.0,986737352963.0,961326003482.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,313.480.888.331,362.908.874.292,,250.0,5.0,313480888331.0,362908874292.0
1.,1.,1.,Đầu tư vào công ty con,251,,351.664.874.292,351.664.874.292,,251.0,,351664874292.0,351664874292.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,11.244.000.000,11.244.000.000,,253.0,,11244000000.0,11244000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(49.427.985.961),-,,254.0,,-49427985961.0,
V.,V.,V.,Tài sản dài hạn khác,260,,340.318.448.845,324.982.723.515,,260.0,,340318448845.0,324982723515.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,10,340.318.448.845,324.982.723.515,,261.0,10.0,340318448845.0,324982723515.0
,,,TỔNG CỘNG TÀI SẢN (270=100÷200),270,,51.847.272.981.332,60.585.222.418.254,,270.0,,51847272981332.0,60585222418254.0
