row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,274.869.451.166,3.652.383.071.690,274869451166.0,3652383071690.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,,,,
Trữ: Thu nhập không chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Trữ: Thu nhập không chịu thuế,Trữ: Thu nhập không chịu thuế,4.603.345.365,9.764.755.987,4603345365.0,9764755987.0
Cộng: Các khoản chi phí không được khấu trừ,Điều chỉnh cho thu nhập chịu thuế > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,54.736.437.065,71.782.496.730,54736437065.0,71782496730.0
Thu nhập chịu thuế năm hiện hành,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế năm hiện hành,Thu nhập chịu thuế năm hiện hành,325.002.542.866,3.714.400.812.433,325002542866.0,3714400812433.0
Thu nhập chịu thuế suất ưu đãi,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế suất ưu đãi,Thu nhập chịu thuế suất ưu đãi,272.498.120.744,3.610.243.220.490,272498120744.0,3610243220490.0
Thu nhập chịu thuế suất thông thường,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế suất thông thường,Thu nhập chịu thuế suất thông thường,52.504.422.122,104.157.591.943,52504422122.0,104157591943.0
Thuế suất ưu đãi,Điều chỉnh cho thu nhập chịu thuế > Thuế suất ưu đãi,Thuế suất ưu đãi,5%,5%,0.05,0.05
Thuế suất thông thường,Điều chỉnh cho thu nhập chịu thuế > Thuế suất thông thường,Thuế suất thông thường,20%,20%,0.2,0.2
Chi phí thuế thu nhập doanh nghiệp tínhtrên thu nhập chịu thuế kỳ này,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tínhtrên thu nhập chịu thuế kỳ này,Chi phí thuế thu nhập doanh nghiệp tínhtrên thu nhập chịu thuế kỳ này,24.125.790.462,201.343.679.413,24125790462.0,201343679413.0
Chi phí thuế thu nhập doanh nghiệp điều chỉnhtheo kết luận Thanh tra Thuế (Thuyết minh số 36),Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp điều chỉnhtheo kết luận Thanh tra Thuế (Thuyết minh số 36),Chi phí thuế thu nhập doanh nghiệp điều chỉnhtheo kết luận Thanh tra Thuế (Thuyết minh số 36),,283.127.363,,283127363.0
Chi phí thuế thu nhập doanh nghiệp hiệnhành,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp hiệnhành,Chi phí thuế thu nhập doanh nghiệp hiệnhành,24.125.790.462,201.626.806.776,24125790462.0,201626806776.0
