row_label_raw,row_label_full,col_0,Số dư đã trích lập tại ngày 30 tháng 6 năm 2018,Giá trị tổn thất do Công ty xác định,Giá trị dự phòng hoàn nhập vào kết quả kinh doanh,numeric__Số dư đã trích lập tại ngày 30 tháng 6 năm 2018,numeric__Giá trị tổn thất do Công ty xác định,numeric__Giá trị dự phòng hoàn nhập vào kết quả kinh doanh
,,,VND,VND,VND,,,
• Dự phòng giảm giả đầu tư tải chính,• Dự phòng giảm giả đầu tư tải chính,• Dự phòng giảm giả đầu tư tải chính,536.393.291.073,536.393.291.073,-,536393291073.0,536393291073.0,
• Dự phòng giảm giá các khoản phải thu,• Dự phòng giảm giá các khoản phải thu,• Dự phòng giảm giá các khoản phải thu,-,-,-,,,
• Dự phòng giảm giá hàng tồn kho,• Dự phòng giảm giá các khoản phải thu > • Dự phòng giảm giá hàng tồn kho,• Dự phòng giảm giá hàng tồn kho,120.524.556.691,-,120.524.556.691,120524556691.0,,120524556691.0
Tổng cộng,• Dự phòng giảm giá các khoản phải thu > Tổng cộng,Tổng cộng,656.917.847.764,536.393.291.073,120.524.556.691,656917847764.0,536393291073.0,120524556691.0
