row_label_raw,row_label_full,Chỉ tiêu,Mã số,30/6/2018(Trước điều chỉnh),Điều chỉnhhỗi tố,30/6/2018(Sau điều chỉnh),numeric__Mã số,numeric__30/6/2018(Trước điều chỉnh),numeric__Điều chỉnhhỗi tố,numeric__30/6/2018(Sau điều chỉnh)
,,,,VND,VND,VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
1. Phải thu ngắn hạn khác,TÀI SẢN > 1. Phải thu ngắn hạn khác,1. Phải thu ngắn hạn khác,136,63.016.070.235,1.022.755.834,64.038.826.069,136.0,63016070235.0,1022755834.0,64038826069.0
2. Chỉ phí trả trước ngắn hạn,TÀI SẢN > 2. Chỉ phí trả trước ngắn hạn,2. Chỉ phí trả trước ngắn hạn,151,134.899.297.707,1.376.708.334,136.276.006.041,151.0,134899297707.0,1376708334.0,136276006041.0
3. Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > 3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,1.544.868.550,1.251.164.512,2.796.033.072,153.0,1544868550.0,1251164512.0,2796033072.0
4. Tài sản cổ định hữu hình,TÀI SẢN > 4. Tài sản cổ định hữu hình,4. Tài sản cổ định hữu hình,221,26.449.310.910.539,63.804.625.131,26.513.115.535.670,221.0,26449310910539.0,63804625131.0,26513115535670.0
- Nguyễn giá,TÀI SẢN > - Nguyễn giá,- Nguyễn giá,222,44.985.552.356.165,72.852.155.062,45.058.404.511.227,222.0,44985552356165.0,72852155062.0,45058404511227.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(18.536.241.445.626),(9.047.529.931),(18.545.288.975.557),223.0,-18536241445626.0,-9047529931.0,-18545288975557.0
5. Chỉ phí xây dựng cơ bên đồ đang NGUỐN VỐN,TÀI SẢN > 5. Chỉ phí xây dựng cơ bên đồ đang NGUỐN VỐN,5. Chỉ phí xây dựng cơ bên đồ đang NGUỐN VỐN,242,946.436.003.482,14.890.000.000,951.326.003.482,242.0,946436003482.0,14890000000.0,951326003482.0
1. Thuế và các khoản phải nộp Nhà nước,TÀI SẢN > 1. Thuế và các khoản phải nộp Nhà nước,1. Thuế và các khoản phải nộp Nhà nước,313,817.603.122.841,9.370.812.266,826.973.935.107,313.0,817603122841.0,9370812266.0,826973935107.0
2. Chỉ phí phải trả ngắn hạn,TÀI SẢN > 2. Chỉ phí phải trả ngắn hạn,2. Chỉ phí phải trả ngắn hạn,315,28.271.171.457,956.818.182,29.227.989.639,315.0,28271171457.0,956818182.0,29227989639.0
3. Phải trả ngắn hạn khác,TÀI SẢN > 3. Phải trả ngắn hạn khác,3. Phải trả ngắn hạn khác,319,6.397.506.939.795,64.995.348.363,6.462.502.288.158,319.0,6397506939795.0,64995348363.0,6462502288158.0
"4. Quỹ khen thưởng, phúc lợi","TÀI SẢN > 4. Quỹ khen thưởng, phúc lợi","4. Quỹ khen thưởng, phúc lợi",322,63.048.796.014,6.992.275.000,70.041.071.014,322.0,63048796014.0,6992275000.0,70041071014.0
5. Quỹ phát triển khoe học và công nghệ,TÀI SẢN > 5. Quỹ phát triển khoe học và công nghệ,5. Quỹ phát triển khoe học và công nghệ,343,1.423.093.900.248,30.000.000,1.423.123.900.248,343.0,1423093900248.0,30000000.0,1423123900248.0
