row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018VND,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)VND,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018VND,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)VND
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",54.699.306.726.736,51.696.215.163.763,54699306726736.0,51696215163763.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",17.912.181.719,19.282.556.476,17912181719.0,19282556476.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,316.616.065.187,286.755.082.923,316616065187.0,286755082923.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,1.282.310.391.996,1.278.101.378.156,1282310391996.0,1278101378156.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,910.504.458.939,871.967.646.185,910504458939.0,871967646185.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,163.904.089.794,159.335.236.911,163904089794.0,159335236911.0
,,,57.390.553.914.371,54.311.657.064.414,57390553914371.0,54311657064414.0
