row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ,,
Chi phí nhân viên quản lý,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,63.081.299.538,51.619.823.550,63081299538.0,51619823550.0
Chi phí vật liệu quản lý,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,1.150.164.957,825.643.887,1150164957.0,825643887.0
Chi phí đồ dùng văn phòng,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,1.122.726.619,2.247.338.089,1122726619.0,2247338089.0
Chi phí khấu hao tài sản cố định,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,17.065.632.080,17.428.535.584,17065632080.0,17428535584.0
Chi phí dịch vụ mua ngoài,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,35.217.234.078,33.227.924.670,35217234078.0,33227924670.0
Chi phí khác bằng tiền,Các khoản chí phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khác bằng tiền,Chi phí khác bằng tiền,50.514.712.135,65.419.892.495,50514712135.0,65419892495.0
,,,168.151.769.407,170.769.158.275,168151769407.0,170769158275.0
Các khoản chí phí bán hàng phát sinh trong,Các khoản chí phí bán hàng phát sinh trong,Các khoản chí phí bán hàng phát sinh trong,Các khoản chí phí bán hàng phát sinh trong,Các khoản chí phí bán hàng phát sinh trong,,
Chi phí nhân viên bán hàng,Các khoản chí phí bán hàng phát sinh trong > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,17.088.908.036,15.586.665.954,17088908036.0,15586665954.0
Chi phí khấu hao tài sản cố định,Các khoản chí phí bán hàng phát sinh trong > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,73.868.191.686,73.868.191.686,73868191686.0,73868191686.0
Chi phí vận chuyển bán sản phẩm,Các khoản chí phí bán hàng phát sinh trong > Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,229.595.955.753,229.936.533.674,229595955753.0,229936533674.0
Chi phí dịch vụ mua ngoài,Các khoản chí phí bán hàng phát sinh trong > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,51.214.357.570,53.269.073.536,51214357570.0,53269073536.0
Chi phí bán hàng xăng sinh học E5,Các khoản chí phí bán hàng phát sinh trong > Chi phí bán hàng xăng sinh học E5,Chi phí bán hàng xăng sinh học E5,248.000.000,180.500.000,248000000.0,180500000.0
Chi phí khác bằng tiền,Các khoản chí phí bán hàng phát sinh trong > Chi phí khác bằng tiền,Chi phí khác bằng tiền,1.236.807.000,1.313.295.064,1236807000.0,1313295064.0
,,,373.252.220.045,374.154.259.914,373252220045.0,374154259914.0
