row_label_raw,row_label_full,col_0,31/12/2022 > Giá gốcVND,31/12/2022 > Giá trị ghi sốVND,01/01/2022 > Giá gốcVND,01/01/2022 > Giá trị ghi sốVND,01/01/2022,numeric__31/12/2022 > Giá gốcVND,numeric__31/12/2022 > Giá trị ghi sốVND,numeric__01/01/2022 > Giá gốcVND,numeric__01/01/2022 > Giá trị ghi sốVND,numeric__01/01/2022
Ngắn hạn,Ngắn hạn,Ngắn hạn,13.331.470.000,13.331.470.000,246.530.000.000,246.530.000.000,,13331470000.0,13331470000.0,246530000000.0,246530000000.0,
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,13.331.470.000,13.331.470.000,246.530.000.000,246.530.000.000,,13331470000.0,13331470000.0,246530000000.0,246530000000.0,
Cộng,Cộng,Cộng,13.331.470.000,13.331.470.000,246.530.000.000,246.530.000.000,,13331470000.0,13331470000.0,246530000000.0,246530000000.0,
5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,,,,,
5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,,,,,
,,,31/12/2022,31/12/2022,31/12/2022,01/01/2022,01/01/2022,,,,,
,,,Giá trị ghi sốVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá hợp lý (i)VND,Giá trị ghi sốVND,Giá trị theo phương pháp vốn chủ sở hữuVND,,,,,
Đầu tư vào công ty liên kết,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,193.029.147.484,152.127.743.417,,193.029.147.484,142.442.751.748,193029147484.0,152127743417.0,,193029147484.0,142442751748.0
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang (*),5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang (*),Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang (*),104.228.000.000,152.127.743.417,,104.228.000.000,142.442.751.748,104228000000.0,152127743417.0,,104228000000.0,142442751748.0
Công ty Cổ phần dịch vụ Hỗ trợ và Phát triển Đầu tư,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Công ty Cổ phần dịch vụ Hỗ trợ và Phát triển Đầu tư,Công ty Cổ phần dịch vụ Hỗ trợ và Phát triển Đầu tư,88.801.147.484,,,88.801.147.484,,88801147484.0,,,88801147484.0,
Cộng,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Cộng,Cộng,193.029.147.484,152.127.743.417,,193.029.147.484,142.442.751.748,193029147484.0,152127743417.0,,193029147484.0,142442751748.0
