row_label_raw,row_label_full,col_0,31/12/2022,31/12/2022_1,31/12/2022_2,31/12/2022_3,01/01/2022,numeric__31/12/2022,numeric__31/12/2022_1,numeric__31/12/2022_2,numeric__31/12/2022_3,numeric__01/01/2022
,,,Giá gốc VND,Dự phòng VND,Giá hợp lý (i) VND,Giá gốc VND,Dự phòng VND,,,,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,41.203.700.000,(36.351.266.373),,63.853.700.000,(57.268.125.600),41203700000.0,-36351266373.0,,63853700000.0,-57268125600.0
Công ty Cổ phần Kỹ thuật Xây dựng và Vật liệu Xây dựng,Công ty Cổ phần Kỹ thuật Xây dựng và Vật liệu Xây dựng,Công ty Cổ phần Kỹ thuật Xây dựng và Vật liệu Xây dựng,4.423.700.000,(1.571.266.373),,4.423.700.000,(1.571.266.373),4423700000.0,-1571266373.0,,4423700000.0,-1571266373.0
Công ty Cổ phần Kính mất Hà Nội,Công ty Cổ phần Kính mất Hà Nội,Công ty Cổ phần Kính mất Hà Nội,-,-,,11.430.000.000,(11.430.000.000),,,,11430000000.0,-11430000000.0
Công ty Cổ phần Bảo Linh,Công ty Cổ phần Bảo Linh,Công ty Cổ phần Bảo Linh,-,-,,11.220.000.000,(9.486.859.227),,,,11220000000.0,-9486859227.0
Công ty Cổ phần Đầu tư Thương mại Vneco Hà Nội,Công ty Cổ phần Đầu tư Thương mại Vneco Hà Nội,Công ty Cổ phần Đầu tư Thương mại Vneco Hà Nội,22.000.000.000,(22.000.000.000),,22.000.000.000,(22.000.000.000),22000000000.0,-22000000000.0,,22000000000.0,-22000000000.0
Công ty Cổ phần Truyền thông TV Shopping,Công ty Cổ phần Truyền thông TV Shopping,Công ty Cổ phần Truyền thông TV Shopping,11.250.000.000,(11.250.000.000),,11.250.000.000,(11.250.000.000),11250000000.0,-11250000000.0,,11250000000.0,-11250000000.0
Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,2.000.000.000,-,,2.000.000.000,-,2000000000.0,,,2000000000.0,
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,1.530.000.000,(1.530.000.000),,1.530.000.000,(1.530.000.000),1530000000.0,-1530000000.0,,1530000000.0,-1530000000.0
Cộng,Cộng,Cộng,41.203.700.000,(36.351.266.373),,63.853.700.000,(57.268.125.600),41203700000.0,-36351266373.0,,63853700000.0,-57268125600.0
