row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,31/12/2022 VND,01/01/2022 VND,numeric__Mã số,numeric__TM,numeric__31/12/2022 VND,numeric__01/01/2022 VND
C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,300,,1.923.408.694.333,1.918.894.326.564,300.0,,1923408694333.0,1918894326564.0
I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,310,,794.787.616.804,764.392.129.001,310.0,,794787616804.0,764392129001.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,5.16,38.140.820.441,34.103.089.854,311.0,516.0,38140820441.0,34103089854.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,5.17,43.592.589.175,47.237.270.978,312.0,517.0,43592589175.0,47237270978.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,5.21,208.584.584.299,178.612.197.113,313.0,521.0,208584584299.0,178612197113.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,11.893.885.512,9.685.554.122,314.0,,11893885512.0,9685554122.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,5.18,141.660.445.556,145.785.921.938,315.0,518.0,141660445556.0,145785921938.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,5.19,8.846.504.114,8.993.897.022,318.0,519.0,8846504114.0,8993897022.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,5.20,314.811.918.031,311.676.468.918,319.0,520.0,314811918031.0,311676468918.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,5.22,18.900.000.000,22.070.421.118,320.0,522.0,18900000000.0,22070421118.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,4.303.000.000,3.712.500,321.0,,4303000000.0,3712500.0
10. Quỹ khen thưởng phúc lợi,10. Quỹ khen thưởng phúc lợi,10. Quỹ khen thưởng phúc lợi,322,,4.053.869.676,6.223.595.438,322.0,,4053869676.0,6223595438.0
II/ Nợ dài hạn,II/ Nợ dài hạn,II/ Nợ dài hạn,330,,1.128.621.077.529,1.154.502.197.563,330.0,,1128621077529.0,1154502197563.0
