row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữuVND,Vốn khác của chủ sở hữuVND,Cổ phiếu quỹVND,Quỹ đầu tư phát triểnVND,Quỹ khác thuộc vốn chủ sở hữuVND,LNST chưa phân phốiVND,Lợi ích của cổ đông không kiểm soát VND,Tổng cộngVND,numeric__Vốn góp của chủ sở hữuVND,numeric__Vốn khác của chủ sở hữuVND,numeric__Cổ phiếu quỹVND,numeric__Quỹ đầu tư phát triểnVND,numeric__Quỹ khác thuộc vốn chủ sở hữuVND,numeric__LNST chưa phân phốiVND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng cộngVND
Số dư tại 01/01/2021,Số dư tại 01/01/2021,Số dư tại 01/01/2021,3.000.000.000.000,6.269.828.101,(10.000),110.830.404.280,14.345.072.839,(2.661.535.190.623),764.986.177.523,1.234.896.282.120,3000000000000.0,6269828101.0,-10000.0,110830404280.0,14345072839.0,-2661535190623.0,764986177523.0,1234896282120.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,-,-,(75.970.035.710),(204.058.876.031),(280.028.911.741),,,,,,-75970035710.0,-204058876031.0,-280028911741.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,-,-,(211.200.000),(211.200.000),,,,,,,-211200000.0,-211200000.0
Trích quỹ khen,Trích quỹ khen,Trích quỹ khen,-,-,-,-,-,(3.640.674.326),(2.456.284.146),(6.096.958.472),,,,,,-3640674326.0,-2456284146.0,-6096958472.0
thường phúc lợi,thường phúc lợi,thường phúc lợi,-,-,-,-,-,(575.928.146),(389.963.517),(965.891.663),,,,,,-575928146.0,-389963517.0,-965891663.0
Công ty con,Công ty con,Công ty con,-,-,-,-,-,24.662.710.306,51.050.855.166,75.713.565.472,,,,,,24662710306.0,51050855166.0,75713565472.0
điều chỉnh loi nhuận,điều chỉnh loi nhuận,điều chỉnh loi nhuận,-,-,-,-,-,(9.356.984.215),-,(9.356.984.215),,,,,,-9356984215.0,,-9356984215.0
Ảnh hưởng do thoái vốn OCH,Ảnh hưởng do thoái vốn OCH,Ảnh hưởng do thoái vốn OCH,-,-,-,-,-,-,-,-,,,,,,,,
Giảm khác,Ảnh hưởng do thoái vốn OCH > Giảm khác,Giảm khác,-,-,-,-,-,(2.726.416.102.714),608.920.708.995,1.013.949.901.501,,,,,,-2726416102714.0,608920708995.0,1013949901501.0
Số dư tại 31/12/2021,Ảnh hưởng do thoái vốn OCH > Số dư tại 31/12/2021,Số dư tại 31/12/2021,3.000.000.000.000,6.269.828.101,(10.000),110.830.404.280,14.345.072.839,(2.726.416.102.714),608.920.708.995,1.013.949.901.501,3000000000000.0,6269828101.0,-10000.0,110830404280.0,14345072839.0,-2726416102714.0,608920708995.0,1013949901501.0
Số dư tại 01/01/2022,Ảnh hưởng do thoái vốn OCH > Số dư tại 01/01/2022,Số dư tại 01/01/2022,3.000.000.000.000,6.269.828.101,(10.000),110.830.404.280,14.345.072.839,(2.726.416.102.714),608.920.708.995,1.013.949.901.501,3000000000000.0,6269828101.0,-10000.0,110830404280.0,14345072839.0,-2726416102714.0,608920708995.0,1013949901501.0
Lãi trong năm,Ảnh hưởng do thoái vốn OCH > Lãi trong năm,Lãi trong năm,-,-,-,-,-,40.438.624.275,18.625.074.315,59.063.698.590,,,,,,40438624275.0,18625074315.0,59063698590.0
Tăng khác,Ảnh hưởng do thoái vốn OCH > Tăng khác,Tăng khác,-,-,-,-,-,246.442.370,212.368.602,458.810.972,,,,,,246442370.0,212368602.0,458810972.0
Điều chỉnh quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,Ảnh hưởng do thoái vốn OCH > Điều chỉnh quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,Điều chỉnh quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,-,-,-,19.496.692,-,-,-,19.496.692,,,,19496692.0,,,,19496692.0
Điều chỉnh giảm do mua thêm cổ phần tại,Ảnh hưởng do thoái vốn OCH > Điều chỉnh giảm do mua thêm cổ phần tại,Điều chỉnh giảm do mua thêm cổ phần tại,-,-,-,-,-,(3.985.093.601),(4.335.906.399),(8.321.000.000),,,,,,-3985093601.0,-4335906399.0,-8321000000.0
Công ty con Giảm khác,Ảnh hưởng do thoái vốn OCH > Công ty con Giảm khác,Công ty con Giảm khác,-,-,-,-,-,(991.434.589),(674.651.597),(1.666.086.186),,,,,,-991434589.0,-674651597.0,-1666086186.0
Số dư tại 31/12/2022,Ảnh hưởng do thoái vốn OCH > Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.000.000.000.000,6.269.828.101,(10.000),110.849.900.972,14.345.072.839,(2.690.707.564.259),622.747.593.916,1.063.504.821.569,3000000000000.0,6269828101.0,-10000.0,110849900972.0,14345072839.0,-2690707564259.0,622747593916.0,1063504821569.0
