row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm 2022 VND,Năm 2021 VND,numeric__Mã số,numeric__Năm 2022 VND,numeric__Năm 2021 VND
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,38.518.518,177.881.820,22.0,38518518.0,177881820.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị","Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị","Tiền chi cho vay, mua các công cụ nợ của đơn vị",23,(448.797.004.247),(80.530.019.657),23.0,-448797004247.0,-80530019657.0
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,687.695.534.247,44.363.868.972,24.0,687695534247.0,44363868972.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(266.671.000.000),-,25.0,-266671000000.0,
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,248.750.000.000,-,26.0,248750000000.0,
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,13.423.971.451,16.101.185.986,27.0,13423971451.0,16101185986.0
Lưu chuyển tiền thuần tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư > Lưu chuyển tiền thuần tử hoạt động đầu tư,Lưu chuyển tiền thuần tử hoạt động đầu tư,30,216.701.266.883,(28.910.247.015),30.0,216701266883.0,-28910247015.0
Lưu chuyển tiền tử hoạt động tài chính,Lưu chuyển tiền tử hoạt động tài chính,Lưu chuyển tiền tử hoạt động tài chính,Lưu chuyển tiền tử hoạt động tài chính,Lưu chuyển tiền tử hoạt động tài chính,Lưu chuyển tiền tử hoạt động tài chính,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của","Lưu chuyển tiền tử hoạt động tài chính > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của",31,-,20.000.000.000,31.0,,20000000000.0
Tiền thu từ đi vay,Lưu chuyển tiền tử hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,10.937.386.411,-,33.0,10937386411.0,
Tiền trả nợ gốc vay,Lưu chuyển tiền tử hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(33.007.807.529),-,34.0,-33007807529.0,
Lưu chuyển tiền thuần tử hoạt động tài chính,Lưu chuyển tiền tử hoạt động tài chính > Lưu chuyển tiền thuần tử hoạt động tài chính,Lưu chuyển tiền thuần tử hoạt động tài chính,40,(22.070.421.118),20.000.000.000,40.0,-22070421118.0,20000000000.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền tử hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,565.026.798.617,(118.855.246.909),50.0,565026798617.0,-118855246909.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền tử hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,169.612.735.102,288.488.166.924,60.0,169612735102.0,288488166924.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi,Lưu chuyển tiền tử hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi,61,(63.764.814),(20.184.913),61.0,-63764814.0,-20184913.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền tử hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,734.575.768.905,169.612.735.102,70.0,734575768905.0,169612735102.0
