row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND","Thiết bị,dụng cụ quản lýVND",TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa, vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND","numeric__Thiết bị,dụng cụ quản lýVND",numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,717.699.000.438,226.460.973.453,36.394.818.346,1.325.686.850,13.005.918.896,994.886.397.983,717699000438.0,226460973453.0,36394818346.0,1325686850.0,13005918896.0,994886397983.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,-,8.864.758.641,1.464.808.707,-,1.663.570.000,11.993.137.348,,8864758641.0,1464808707.0,,1663570000.0,11993137348.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,226.654.000,-,-,-,-,226.654.000,226654000.0,,,,,226654000.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(72.646.000),(404.067.200),-,-,(2.316.968.426),(2.793.681.626),-72646000.0,-404067200.0,,,-2316968426.0,-2793681626.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,"(54.592.000,00)",(150.289.225),-,-,(1.909.843.463),(2.114.724.688),-54592000.0,-150289225.0,,,-1909843463.0,-2114724688.0
Số dư tại 31/12/2022,NGUYÊN GIÁ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,717.798.416.438,234.771.375.669,37.859.627.053,1.325.686.850,10.442.677.007,1.002.197.783.017,717798416438.0,234771375669.0,37859627053.0,1325686850.0,10442677007.0,1002197783017.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2022,Số dư tại 01/01/2022,198.463.822.807,122.286.500.827,22.450.263.621,883.676.623,10.572.428.340,354.656.692.218,198463822807.0,122286500827.0,22450263621.0,883676623.0,10572428340.0,354656692218.0
Khấu hao trong kỳ,GIÁ TRỊ HAO MÒN > Khấu hao trong kỳ,Khấu hao trong kỳ,23.339.799.075,11.274.442.962,3.509.272.564,215.254.265,894.404.252,39.233.173.118,23339799075.0,11274442962.0,3509272564.0,215254265.0,894404252.0,39233173118.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(64.574.224),(402.111.644),-,-,(977.309.662),(1.443.995.530),-64574224.0,-402111644.0,,,-977309662.0,-1443995530.0
Giảm khác,GIÁ TRỊ HAO MÒN > Giảm khác,Giảm khác,(54.592.000),(150.289.225),-,-,(1.909.843.463),(2.114.724.688),-54592000.0,-150289225.0,,,-1909843463.0,-2114724688.0
Số dư tại 31/12/2022,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2022,Số dư tại 31/12/2022,221.684.455.658,133.008.542.920,25.959.536.185,1.098.930.888,8.579.679.467,390.331.145.118,221684455658.0,133008542920.0,25959536185.0,1098930888.0,8579679467.0,390331145118.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư tại 01/01/2022,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2022,Số dư tại 01/01/2022,519.235.177.631,104.174.472.626,13.944.554.725,442.010.227,2.433.490.556,640.229.705.765,519235177631.0,104174472626.0,13944554725.0,442010227.0,2433490556.0,640229705765.0
Số dư tại 31/12/2022,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2022,Số dư tại 31/12/2022,496.113.960.780,101.762.832.749,11.900.090.868,226.755.962,1.862.997.540,611.866.637.899,496113960780.0,101762832749.0,11900090868.0,226755962.0,1862997540.0,611866637899.0
