row_label_raw,row_label_full,col_0,"Quyền sử dụng đất, Quyền đầu tư dự án VND",Chương trình phần mềm VND,"Chi phí thiết kế nhân hiệu, website VND",Tổng cộng VND,"numeric__Quyền sử dụng đất, Quyền đầu tư dự án VND",numeric__Chương trình phần mềm VND,"numeric__Chi phí thiết kế nhân hiệu, website VND",numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,70.000.000.000,3.210.667.549,414.968.682,73.625.636.231,70000000000.0,3210667549.0,414968682.0,73625636231.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,1.209.430.000,-,1.209.430.000,,1209430000.0,,1209430000.0
Số dư tại 31/12/2022,NGUYÊN GIÁ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,70.000.000.000,4.420.097.549,414.968.682,74.835.066.231,70000000000.0,4420097549.0,414968682.0,74835066231.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2022,Số dư tại 01/01/2022,10.632.911.398,2.188.401.770,235.928.682,13.057.241.850,10632911398.0,2188401770.0,235928682.0,13057241850.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,1.772.151.901,480.723.345,9.456.000,2.262.331.246,1772151901.0,480723345.0,9456000.0,2262331246.0
Số dư tại 31/12/2022,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2022,Số dư tại 31/12/2022,12.405.063.299,2.669.125.115,245.384.682,15.319.573.096,12405063299.0,2669125115.0,245384682.0,15319573096.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,
Số dư tại 01/01/2022,GIÁ TRỊ CÔN LẠI > Số dư tại 01/01/2022,Số dư tại 01/01/2022,59.367.088.602,1.022.265.779,179.040.000,60.568.394.381,59367088602.0,1022265779.0,179040000.0,60568394381.0
Số dư tại 31/12/2022,GIÁ TRỊ CÔN LẠI > Số dư tại 31/12/2022,Số dư tại 31/12/2022,57.594.936.701,1.750.972.434,169.584.000,59.515.493.135,57594936701.0,1750972434.0,169584000.0,59515493135.0
