row_label_raw,row_label_full,col_0,Chỉ tiêu,Mã số,TM,Năm 2022 VND,Năm 2021 VND,numeric__Chỉ tiêu,numeric__Mã số,numeric__TM,numeric__Năm 2022 VND,numeric__Năm 2021 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,1.017.555.451.758,416.463.807.679,,1.0,61.0,1017555451758.0,416463807679.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,6.2,6.493.211.000,7.186.536.132,,2.0,62.0,6493211000.0,7186536132.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,1.011.062.240.758,409.277.271.547,,10.0,,1011062240758.0,409277271547.0
4.,4.,4.,Giá vốn hàng bán,11,6.3,535.803.024.856,411.021.299.589,,11.0,63.0,535803024856.0,411021299589.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,475.259.215.902,(1.744.028.042),,20.0,,475259215902.0,-1744028042.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,6.4,20.017.667.468,21.426.362.042,,21.0,64.0,20017667468.0,21426362042.0
7.,7.,7.,Chi phí tài chính,22,6.5,25.123.969.386,(36.912.933),,22.0,65.0,25123969386.0,-36912933.0
,,,Trong đó: Chi phí lãi vay,23,,14.530.485.336,13.706.970.013,,23.0,,14530485336.0,13706970013.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,9.684.991.669,9.653.369.920,,24.0,,9684991669.0,9653369920.0
9.,9.,9.,Chi phí bán hàng,25,6.6,173.416.145.500,77.126.884.709,,25.0,66.0,173416145500.0,77126884709.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,6.7,180.887.304.952,289.881.319.252,,26.0,67.0,180887304952.0,289881319252.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,125.534.455.201,(337.635.587.108),,30.0,,125534455201.0,-337635587108.0
12.,12.,12.,Thu nhập khác,31,6.8,3.388.993.713,89.071.219.426,,31.0,68.0,3388993713.0,89071219426.0
13.,13.,13.,Chi phí khác,32,6.9,14.990.510.425,27.543.452.513,,32.0,69.0,14990510425.0,27543452513.0
14.,14.,14.,Lợi nhuận khác,40,,(11.601.516.712),61.527.766.913,,40.0,,-11601516712.0,61527766913.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,113.932.938.489,(276.107.820.195),,50.0,,113932938489.0,-276107820195.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,6.10,54.953.338.071,3.917.900.918,,51.0,610.0,54953338071.0,3917900918.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,(84.098.172),3.190.628,,52.0,,-84098172.0,3190628.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,59.063.698.590,(280.028.911.741),,60.0,,59063698590.0,-280028911741.0
,,,- LNST của cổ đông của công ty mẹ,61,,40.438.624.275,(75.970.035.710),,61.0,,40438624275.0,-75970035710.0
,,,- LNST của cổ đông không kiểm soát,62,,18.625.074.315,(204.058.876.031),,62.0,,18625074315.0,-204058876031.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,6.11,135,(253),,70.0,611.0,135.0,-253.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,6.11,135,(253),,71.0,611.0,135.0,-253.0
