row_label_raw,row_label_full,col_0,31/12/2022 > Giá trịVND,31/12/2022 > Số có khànăng trả nợVND,01/01/2022 > Giá trịVND,01/01/2022 > Số có khànăng trả nợVND,numeric__31/12/2022 > Giá trịVND,numeric__31/12/2022 > Số có khànăng trả nợVND,numeric__01/01/2022 > Giá trịVND,numeric__01/01/2022 > Số có khànăng trả nợVND
Các bên liên quan,Các bên liên quan,Các bên liên quan,-,-,-,-,,,,
Các bên khác,Các bên liên quan > Các bên khác,Các bên khác,314.811.918.031,314.811.918.031,311.676.468.918,311.676.468.918,314811918031.0,314811918031.0,311676468918.0,311676468918.0
Tài sản thừa chờ giải quyết,Các bên liên quan > Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,86.094.862,86.094.862,23.720.120,23.720.120,86094862.0,86094862.0,23720120.0,23720120.0
Kinh phí công đoàn,Các bên liên quan > Kinh phí công đoàn,Kinh phí công đoàn,734.100.201,734.100.201,959.650.511,959.650.511,734100201.0,734100201.0,959650511.0,959650511.0
Bảo hiểm xã hội,Các bên liên quan > Bảo hiểm xã hội,Bảo hiểm xã hội,24.061.710,24.061.710,24.619.121,24.619.121,24061710.0,24061710.0,24619121.0,24619121.0
Bảo hiểm y tế,Các bên liên quan > Bảo hiểm y tế,Bảo hiểm y tế,25.525.935,25.525.935,19.682.233,19.682.233,25525935.0,25525935.0,19682233.0,19682233.0
Bảo hiểm thất nghiệp,Các bên liên quan > Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,6.104.565,6.104.565,42.331.923,42.331.923,6104565.0,6104565.0,42331923.0,42331923.0
"Nhận ký quý, ký cược ngắn hạn","Các bên liên quan > Nhận ký quý, ký cược ngắn hạn","Nhận ký quý, ký cược ngắn hạn",9.296.799.723,9.296.799.723,6.793.889.723,6.793.889.723,9296799723.0,9296799723.0,6793889723.0,6793889723.0
Phải trả do quá hạn hợp đồng (1),Các bên liên quan > Phải trả do quá hạn hợp đồng (1),Phải trả do quá hạn hợp đồng (1),113.459.623.428,113.459.623.428,113.459.623.428,113.459.623.428,113459623428.0,113459623428.0,113459623428.0,113459623428.0
Ngân hàng Thương mại TNHH MTV Đại Dương (2),Các bên liên quan > Ngân hàng Thương mại TNHH MTV Đại Dương (2),Ngân hàng Thương mại TNHH MTV Đại Dương (2),16.577.346.850,16.577.346.850,18.631.317.025,18.631.317.025,16577346850.0,16577346850.0,18631317025.0,18631317025.0
Phải trả Công ty TNHH Pegasus Thăng Long (3),Các bên liên quan > Phải trả Công ty TNHH Pegasus Thăng Long (3),Phải trả Công ty TNHH Pegasus Thăng Long (3),116.042.770.800,116.042.770.800,116.042.770.800,116.042.770.800,116042770800.0,116042770800.0,116042770800.0,116042770800.0
Công ty Cổ phần BSC Việt Nam (4),Các bên liên quan > Công ty Cổ phần BSC Việt Nam (4),Công ty Cổ phần BSC Việt Nam (4),6.131.655.786,6.131.655.786,6.131.655.786,6.131.655.786,6131655786.0,6131655786.0,6131655786.0,6131655786.0
Phải trả khác,Các bên liên quan > Phải trả khác,Phải trả khác,52.427.834.171,52.427.834.171,49.547.208.248,49.547.208.248,52427834171.0,52427834171.0,49547208248.0,49547208248.0
Cộng,Các bên liên quan > Cộng,Cộng,314.811.918.031,314.811.918.031,311.676.468.918,311.676.468.918,314811918031.0,314811918031.0,311676468918.0,311676468918.0
