row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2022 VND,01/01/2022 VND,numeric__Mã số,numeric__TM,numeric__31/12/2022 VND,numeric__01/01/2022 VND
A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,100,,1.309.105.460.491,1.208.602.690.457,100.0,,1309105460491.0,1208602690457.0
I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,110,5.1,734.575.768.905,169.612.735.102,110.0,51.0,734575768905.0,169612735102.0
1. Tiền,1. Tiền,1. Tiền,111,,61.438.200.446,84.352.071.433,111.0,,61438200446.0,84352071433.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,673.137.568.459,85.260.663.669,112.0,,673137568459.0,85260663669.0
II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,120,,21.043.488.200,333.740.507.950,120.0,,21043488200.0,333740507950.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,5.13,21.755.664.092,88.774.013.156,121.0,513.0,21755664092.0,88774013156.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,5.13,(14.043.645.892),(1.563.505.206),122.0,513.0,-14043645892.0,-1563505206.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,5.14,13.331.470.000,246.530.000.000,123.0,514.0,13331470000.0,246530000000.0
III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,130,,347.591.871.584,481.454.315.299,130.0,,347591871584.0,481454315299.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,62.931.960.258,62.835.788.563,131.0,52.0,62931960258.0,62835788563.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,198.223.834.820,289.771.197.577,132.0,53.0,198223834820.0,289771197577.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.4,7.400.000.000,169.600.000.000,135.0,54.0,7400000000.0,169600000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,225.458.080.219,1.200.874.691.953,136.0,55.0,225458080219.0,1200874691953.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5.6,(150.421.082.404),(1.245.636.285.484),137.0,56.0,-150421082404.0,-1245636285484.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,3.999.078.691,4.008.922.690,139.0,,3999078691.0,4008922690.0
IV/ Hàng tồn kho,IV/ Hàng tồn kho,IV/ Hàng tồn kho,140,5.7,177.564.624.375,195.249.791.340,140.0,57.0,177564624375.0,195249791340.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,279.835.391.496,302.374.926.023,141.0,,279835391496.0,302374926023.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(102.270.767.121),(107.125.134.683),149.0,,-102270767121.0,-107125134683.0
V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,150,,28.329.707.427,28.545.340.766,150.0,,28329707427.0,28545340766.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.8,3.972.820.016,3.018.941.464,151.0,58.0,3972820016.0,3018941464.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,14.713.105.580,13.004.187.378,152.0,,14713105580.0,13004187378.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,5.21,9.643.781.831,12.522.211.924,153.0,521.0,9643781831.0,12522211924.0
B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,200,,1.677.808.055.411,1.724.241.537.608,200.0,,1677808055411.0,1724241537608.0
I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,210,,156.221.611.776,158.530.841.528,210.0,,156221611776.0,158530841528.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,5.3,222.821.738.555,179.411.050.180,212.0,53.0,222821738555.0,179411050180.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,5.5,3.802.680.423,29.758.122.592,216.0,55.0,3802680423.0,29758122592.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,5.6,(70.402.807.202),(50.638.331.244),219.0,56.0,-70402807202.0,-50638331244.0
II/ Tài sản cố định,II/ Tài sản cố định,II/ Tài sản cố định,220,,671.382.131.034,700.798.100.146,220.0,,671382131034.0,700798100146.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.12,611.866.637.899,640.229.705.765,221.0,512.0,611866637899.0,640229705765.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,1.002.197.783.017,994.886.397.983,222.0,,1002197783017.0,994886397983.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(390.331.145.118),(354.656.692.218),223.0,,-390331145118.0,-354656692218.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,5.9,59.515.493.135,60.568.394.381,227.0,59.0,59515493135.0,60568394381.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,74.835.066.231,73.625.636.231,228.0,,74835066231.0,73625636231.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(15.319.573.096),(13.057.241.850),229.0,,-15319573096.0,-13057241850.0
III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,230,5.10,23.589.099.921,24.794.293.605,230.0,510.0,23589099921.0,24794293605.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,36.155.810.460,36.155.810.460,231.0,,36155810460.0,36155810460.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(12.566.710.539),(11.361.516.855),232.0,,-12566710539.0,-11361516855.0
IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,240,,281.081.874.947,276.786.556.429,240.0,,281081874947.0,276786556429.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,5.11,281.081.874.947,276.786.556.429,242.0,511.0,281081874947.0,276786556429.0
V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,250,5.15,156.980.177.044,149.028.326.148,250.0,515.0,156980177044.0,149028326148.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,152.127.743.417,142.442.751.748,252.0,,152127743417.0,142442751748.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,41.203.700.000,63.853.700.000,253.0,,41203700000.0,63853700000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(36.351.266.373),(57.268.125.600),254.0,,-36351266373.0,-57268125600.0
VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,260,,388.553.160.689,414.303.419.752,260.0,,388553160689.0,414303419752.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.8,336.540.593.677,336.455.099.328,261.0,58.0,336540593677.0,336455099328.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,183.000.675,61.229.192,262.0,,183000675.0,61229192.0
3. Lợi thế thương mại,3. Lợi thế thương mại,3. Lợi thế thương mại,269,,51.829.566.337,77.787.091.232,269.0,,51829566337.0,77787091232.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,2.986.913.515.902,2.932.844.228.065,270.0,,2986913515902.0,2932844228065.0
