row_label_raw,row_label_full,5.22 Vay và nợ thuê tài chính,5.22 Vay và nợ thuê tài chính_1,5.22 Vay và nợ thuê tài chính_2,5.22 Vay và nợ thuê tài chính_3,5.22 Vay và nợ thuê tài chính_4,5.22 Vay và nợ thuê tài chính_5,5.22 Vay và nợ thuê tài chính_6,numeric__5.22 Vay và nợ thuê tài chính_1,numeric__5.22 Vay và nợ thuê tài chính_2,numeric__5.22 Vay và nợ thuê tài chính_3,numeric__5.22 Vay và nợ thuê tài chính_4,numeric__5.22 Vay và nợ thuê tài chính_5,numeric__5.22 Vay và nợ thuê tài chính_6
5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,5.22.1 Vay và nợ thuê tài chính ngắn hạn,,,,,,
,,,31/12/2022,31/12/2022,Trong năm,Trong năm,01/01/2022,01/01/2022,,,,,,
,,,Giá trịVND,Số có khả năng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khả năng trả nợVND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Ngân hàng TMCP Công thương Chi nhánh Đỏ Thành,Vay ngắn hạn > Ngân hàng TMCP Công thương Chi nhánh Đỏ Thành,Ngân hàng TMCP Công thương Chi nhánh Đỏ Thành,-,-,-,20.000.000.000,20.000.000.000,20.000.000.000,,,,20000000000.0,20000000000.0,20000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,,,,,
Ngân hàng Thương mại TNHH MTV Đại Dương (1),Vay dài hạn đến hạn trả > Ngân hàng Thương mại TNHH MTV Đại Dương (1),Ngân hàng Thương mại TNHH MTV Đại Dương (1),18.900.000.000,18.900.000.000,18.900.000.000,2.070.421.118,2.070.421.118,2.070.421.118,18900000000.0,18900000000.0,18900000000.0,2070421118.0,2070421118.0,2070421118.0
Cộng,Vay dài hạn đến hạn trả > Cộng,Cộng,18.900.000.000,18.900.000.000,18.900.000.000,22.070.421.118,22.070.421.118,22.070.421.118,18900000000.0,18900000000.0,18900000000.0,22070421118.0,22070421118.0,22070421118.0
5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,5.22.2 Vay và nợ thuê tài chính dài hạn,,,,,,
,,,31/12/2022,31/12/2022,Trong kỳ,Trong kỳ,01/01/2022,01/01/2022,,,,,,
,,,Giá trịVND,Số có khả năng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khả năng trả nợVND,,,,,,
Vay ngân hàng,5.22.2 Vay và nợ thuê tài chính dài hạn > Vay ngân hàng,Vay ngân hàng,132.331.166.911,132.331.166.911,-,18.900.000.000,151.231.166.911,151.231.166.911,132331166911.0,132331166911.0,,18900000000.0,151231166911.0,151231166911.0
Ngân hàng Thương mạiTNHH MTV Đại Dương (1),5.22.2 Vay và nợ thuê tài chính dài hạn > Ngân hàng Thương mạiTNHH MTV Đại Dương (1),Ngân hàng Thương mạiTNHH MTV Đại Dương (1),132.331.166.911,132.331.166.911,-,18.900.000.000,151.231.166.911,151.231.166.911,132331166911.0,132331166911.0,,18900000000.0,151231166911.0,151231166911.0
Cộng,5.22.2 Vay và nợ thuê tài chính dài hạn > Cộng,Cộng,132.331.166.911,132.331.166.911,-,18.900.000.000,151.231.166.911,151.231.166.911,132331166911.0,132331166911.0,,18900000000.0,151231166911.0,151231166911.0
