row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Others VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Others VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"2,209,357,225,901","8,856,963,445,539","236,144,823,399","175,879,050,485","9,972,781,641","11,488,317,326,965",,,,,,
Additions,Additions,Additions,"2,845,000,000","16,210,191,923","1,643,425,200","4,173,328,909",-,"24,871,946,032",,,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"26,800,455,705","45,577,024,987",-,"5,383,784,438",-,"77,761,265,130",,,,,,
Transfer from/(to) long-term prepaid expenses,Transfer from/(to) long-term prepaid expenses,Transfer from/(to) long-term prepaid expenses,"200,880,000","(133,102,560)",-,"(188,350,000)",-,"(120,572,560)",,,,,,
Disposals,Disposals,Disposals,"(2,647,944,024)","(7,458,696,423)","(12,711,703,944)","(179,668,092)",-,"(22,998,012,483)",,,,,,
Closing balance,Closing balance,Closing balance,"2,236,555,617,582","8,911,158,863,466","225,076,544,655","185,068,145,740","9,972,781,641","11,567,831,953,084",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"1,370,367,618,572","6,848,002,085,538","213,574,860,702","157,638,046,655","9,125,855,160","8,598,708,466,627",,,,,,
Charge for the year,Charge for the year,Charge for the year,"88,989,338,240","401,521,829,899","7,676,814,871","9,193,618,775","107,567,083","507,489,168,868",,,,,,
Transfer to long-term prepaid expenses,Transfer to long-term prepaid expenses,Transfer to long-term prepaid expenses,-,"(8,402,218)",-,"(94,200,000)",-,"(102,602,218)",,,,,,
Disposals,Disposals,Disposals,"(2,022,835,371)","(7,458,696,423)","(12,711,703,944)","(179,668,092)",-,"(22,372,903,830)",,,,,,
Closing balance,Closing balance,Closing balance,"1,457,334,121,441","7,242,056,816,796","208,539,971,629","166,557,797,338","9,233,422,243","9,083,722,129,447",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"838,989,607,329","2,008,961,360,001","22,569,962,697","18,241,003,830","846,926,481","2,889,608,860,338",,,,,,
Closing balance,Closing balance,Closing balance,"779,221,496,141","1,669,102,046,670","16,536,573,026","18,510,348,402","739,359,398","2,484,109,823,637",,,,,,
