row_label_raw,row_label_full,col_0,Code,Note,2024VND,2023VND,numeric__Code,numeric__Note,numeric__2024VND,numeric__2023VND
Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),60,,"4,494,773,426,912","4,255,052,995,709",60.0,,,
Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,,,,
Equity holders of the Company,Attributable to: > Equity holders of the Company,Equity holders of the Company,61,,"4,330,113,031,371","4,117,605,068,688",61.0,,,
Non-controlling interests,Attributable to: > Non-controlling interests,Non-controlling interests,62,,"164,660,395,541","137,447,927,021",62.0,,,
Earnings per share,Earnings per share,Earnings per share,,,,(Restated),,,,
Basic earnings per share,Earnings per share > Basic earnings per share,Basic earnings per share,70,39,"3,291","3,134",70.0,39.0,3.291,3.134
