row_label_raw,row_label_full,col_0,1/1/2024 VND,Incurred VND,Paid VND,Net-off VND,Reclassified to taxes receivable VND,31/12/2024 VND,numeric__1/1/2024 VND,numeric__Incurred VND,numeric__Paid VND,numeric__Net-off VND,numeric__Reclassified to taxes receivable VND,numeric__31/12/2024 VND
Special sales tax,Special sales tax,Special sales tax,"839,019,004,347","9,245,816,134,512","(9,255,422,282,839)",-,-,"829,412,856,020",,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"346,989,946,141","1,146,257,135,410","(1,156,741,713,349)","(40,765,796)","1,689,005,823","338,153,608,229",,,,,,
Value added tax,Value added tax,Value added tax,"145,251,797,016","15,506,689,278,265","(1,974,043,523,030)","(13,544,739,652,008)","146,392,491","133,304,292,734",,,,,,
Personal income tax,Personal income tax,Personal income tax,"13,497,796,682","101,907,643,934","(106,627,759,047)","(728,612,451)","1,640,585,774","9,689,654,892",,,,,,
Import-export tax,Import-export tax,Import-export tax,-,"2,762,452,104","(2,762,452,104)",-,-,-,,,,,,
Other taxes,Other taxes,Other taxes,"13,757,093,648","165,914,802,564","(160,629,324,913)","(8,741,497,188)",-,"10,301,074,111",,,,,,
,,,"1,358,515,637,834","26,169,347,446,789","(12,656,227,055,282)","(13,554,250,527,443)","3,475,984,088","1,320,861,485,986",,,,,,
