row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.209.357.225.901,8.856.963.445.539,236.144.823.399,175.879.050.485,9.972.781.641,11.488.317.326.965,2209357225901.0,8856963445539.0,236144823399.0,175879050485.0,9972781641.0,11488317326965.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.845.000.000,16.210.191.923,1.643.425.200,4.173.328.909,-,24.871.946.032,2845000000.0,16210191923.0,1643425200.0,4173328909.0,,24871946032.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,26.800.455.705,45.577.024.987,-,5.383.784.438,-,77.761.265.130,26800455705.0,45577024987.0,,5383784438.0,,77761265130.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,200.880.000,(133.102.560),-,(188.350.000),-,(120.572.560),200880000.0,-133102560.0,,-188350000.0,,-120572560.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.647.944.024),(7.458.696.423),(12.711.703.944),(179.668.092),-,(22.998.012.483),-2647944024.0,-7458696423.0,-12711703944.0,-179668092.0,,-22998012483.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.236.555.617.582,8.911.158.863.466,225.076.544.655,185.068.145.740,9.972.781.641,11.567.831.953.084,2236555617582.0,8911158863466.0,225076544655.0,185068145740.0,9972781641.0,11567831953084.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.370.367.618.572,6.848.002.085.538,213.574.860.702,157.638.046.655,9.125.855.160,8.598.708.466.627,1370367618572.0,6848002085538.0,213574860702.0,157638046655.0,9125855160.0,8598708466627.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,88.989.338.240,401.521.829.899,7.676.814.871,9.193.618.775,107.567.083,507.489.168.868,88989338240.0,401521829899.0,7676814871.0,9193618775.0,107567083.0,507489168868.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(8.402.218),-,(94.200.000),-,(102.602.218),,-8402218.0,,-94200000.0,,-102602218.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.022.835.371),(7.458.696.423),(12.711.703.944),(179.668.092),-,(22.372.903.830),-2022835371.0,-7458696423.0,-12711703944.0,-179668092.0,,-22372903830.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.457.334.121.441,7.242.056.816.796,208.539.971.629,166.557.797.338,9.233.422.243,9.083.722.129.447,1457334121441.0,7242056816796.0,208539971629.0,166557797338.0,9233422243.0,9083722129447.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,838.989.607.329,2.008.961.360.001,22.569.962.697,18.241.003.830,846.926.481,2.889.608.860.338,838989607329.0,2008961360001.0,22569962697.0,18241003830.0,846926481.0,2889608860338.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,779.221.496.141,1.669.102.046.670,16.536.573.026,18.510.348.402,739.359.398,2.484.109.823.637,779221496141.0,1669102046670.0,16536573026.0,18510348402.0,739359398.0,2484109823637.0
