row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2024VND,2023VND,,
The intermediate parent companies,The intermediate parent companies,The intermediate parent companies,The intermediate parent companies,The intermediate parent companies,,
Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,,
Payments on behalf of the Group,Payments on behalf of the Group,Payments on behalf of the Group,"257,060,584","1,267,545,263",,
BeerCo Limited,BeerCo Limited,BeerCo Limited,BeerCo Limited,BeerCo Limited,,
Payments on behalf of the Group,Payments on behalf of the Group,Payments on behalf of the Group,"19,318,898,028","16,590,451,838",,
Other transactions,Other transactions,Other transactions,-,"111,744,000",,
The parent company,The parent company,The parent company,The parent company,The parent company,,
Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,,
Dividends declared,Dividends declared,Dividends declared,"2,749,140,696,000","1,546,391,641,500",,
Sales of merchandises,Sales of merchandises,Sales of merchandises,"2,643,800",-,,
Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"701,599,577,473","662,728,097,085",,
Sales of finished goods,Sales of raw materials > Sales of finished goods,Sales of finished goods,"763,636",-,763.636,
Other sales,Other sales,Other sales,"6,401,147,125","5,877,793,254",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,805,890,146,330","1,756,634,387,300",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,-,"3,847,827,825",,
Warehouse rental fee,Warehouse rental fee,Warehouse rental fee,"1,049,979,519","170,182,007",,
Dividends declared,Dividends declared,Dividends declared,"2,333,334,000",-,,
Dividends income,Dividends income,Dividends income,"21,932,751,464","9,706,300,732",,
Other transactions,Other transactions,Other transactions,"352,390,773",-,,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"400,054,343,224","344,450,537,598",,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"73,118,058",-,,
Other sales,Other sales,Other sales,"8,843,090,870","1,158,833,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,026,111,425,170","1,073,382,319,260",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"23,217,413,655","1,228,498,719",,
Purchases of services,Purchases of raw materials > Purchases of services,Purchases of services,"200,000","100,000,000",200.0,
Warehouse rental fee,Warehouse rental fee,Warehouse rental fee,"1,202,470,482","743,291,259",,
Dividends income,Dividends income,Dividends income,"48,535,035,000","43,527,333,500",,
Other transactions,Other transactions,Other transactions,"259,808,091","180,821,456",,
