row_label_raw,row_label_full,col_0,Code Note,Code Note_1,2024VND,2023VND,numeric__Code Note,numeric__Code Note_1,numeric__2024VND,numeric__2023VND
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
Payments for additions to fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets and other long-term assets,Payments for additions to fixed assets and other long-term assets,21,,"(296,018,278,038)","(283,734,894,513)",21.0,,,
Proceeds from disposals of fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,22,,"3,524,838,452","2,485,031,224",22.0,,,
Placements of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Placements of term deposits at banks,Placements of term deposits at banks,23,,"(20,386,135,177,101)","(17,562,407,857,117)",23.0,,,
Collections from term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Collections from term deposits at banks,Collections from term deposits at banks,24,,"20,264,668,417,665","19,195,704,939,452",24.0,,,
Payments for repurchase of non-controlling interests in subsidiary and investments in other entities,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for repurchase of non-controlling interests in subsidiary and investments in other entities,Payments for repurchase of non-controlling interests in subsidiary and investments in other entities,25,,"(954,279,098,706)","(164,654,149,300)",25.0,,,
"Receipts of interest, dividends and profits distribution","CASH FLOWS FROM INVESTING ACTIVITIES > Receipts of interest, dividends and profits distribution","Receipts of interest, dividends and profits distribution",27,,"1,387,123,683,050","1,363,536,248,562",27.0,,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,,"18,884,385,322","2,550,929,318,308",30.0,,,
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,,
Proceeds from borrowings,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from borrowings,Proceeds from borrowings,33,,"2,934,074,426,368","4,130,545,304,850",33.0,,,
Payments to settle loan principals,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle loan principals,Payments to settle loan principals,34,,"(3,218,974,426,368)","(4,461,477,622,999)",34.0,,,
Payments of dividends,CASH FLOWS FROM FINANCING ACTIVITIES > Payments of dividends,Payments of dividends,36,,"(4,658,550,227,964)","(3,354,092,726,063)",36.0,,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,,"(4,943,450,227,964)","(3,685,025,044,212)",40.0,,,
Net cash flows during the year (50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,,"(562,056,274,102)","970,622,531,875",50.0,,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,,"5,039,908,030,600","4,069,464,160,642",60.0,,,
Effect of exchange rate fluctuations on cash and cash equivalents,CASH FLOWS FROM FINANCING ACTIVITIES > Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,,"(350,089,172)","(178,661,917)",61.0,,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,6,"4,477,501,667,326","5,039,908,030,600",70.0,6.0,,
