row_label_raw,row_label_full,col_0,Code Note,2024 VND,2023 VND,numeric__Code Note,numeric__2024 VND,numeric__2023 VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Accounting profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Accounting profit before tax,Accounting profit before tax,01,"5,647,358,628,166","5,370,410,404,295",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"548,883,626,755","570,032,022,357",2.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"4,315,069,033","3,417,866,623",3.0,,
Exchange losses arising from revaluation of monetary items,Exchange losses arising from revaluation of monetary items,Exchange losses arising from revaluation of monetary items,Exchange losses arising from revaluation of monetary items,Exchange losses arising from revaluation of monetary items,Exchange losses arising from revaluation of monetary items,,,
denominated in foreign currencies,Exchange losses arising from revaluation of monetary items > denominated in foreign currencies,denominated in foreign currencies,04,"580,733,992","8,344,264,858",4.0,,
Profits from investing activities,Exchange losses arising from revaluation of monetary items > Profits from investing activities,Profits from investing activities,05,"(1,051,086,619,731)","(1,393,861,414,492)",5.0,,
Share of profits in associates and jointly controlled entities,Exchange losses arising from revaluation of monetary items > Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,05,"(197,444,756,654)","(232,053,894,657)",5.0,,
Interest expense,Exchange losses arising from revaluation of monetary items > Interest expense,Interest expense,06,"27,449,548,631","50,214,725,919",6.0,,
Operating profit before changes in working capital,Exchange losses arising from revaluation of monetary items > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"4,980,056,230,192","4,376,503,974,903",8.0,,
Change in receivables and other assets,Exchange losses arising from revaluation of monetary items > Change in receivables and other assets,Change in receivables and other assets,09,"13,722,096,167","(39,584,410,728)",9.0,,
Change in inventories,Exchange losses arising from revaluation of monetary items > Change in inventories,Change in inventories,10,"345,459,551,432","(135,490,197,099)",10.0,,
Change in payables and other liabilities,Exchange losses arising from revaluation of monetary items > Change in payables and other liabilities,Change in payables and other liabilities,11,"208,910,758,673","(622,465,452,377)",11.0,,
Change in prepaid expenses,Exchange losses arising from revaluation of monetary items > Change in prepaid expenses,Change in prepaid expenses,12,"123,176,401,221","(146,695,187,651)",12.0,,
,,,,"5,671,325,037,685","3,432,268,727,048",,,
Interest paid,Exchange losses arising from revaluation of monetary items > Interest paid,Interest paid,14,"(27,622,609,286)","(50,352,399,174)",14.0,,
Corporate income tax paid,Exchange losses arising from revaluation of monetary items > Corporate income tax paid,Corporate income tax paid,15,"(1,156,741,713,349)","(1,099,769,434,435)",15.0,,
Other payments for operating activities,Exchange losses arising from revaluation of monetary items > Other payments for operating activities,Other payments for operating activities,17,"(124,451,146,510)","(177,428,635,660)",17.0,,
Net cash flows from operating activities,Exchange losses arising from revaluation of monetary items > Net cash flows from operating activities,Net cash flows from operating activities,20,"4,362,509,568,540","2,104,718,257,779",20.0,,
