row_label_raw,row_label_full,col_0,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê_1,Bất động sản đầu tư năm giữ chở tăng giá,Tổng,numeric__Bất động sản đầu tư cho thuê,numeric__Bất động sản đầu tư cho thuê_1,numeric__Bất động sản đầu tư năm giữ chở tăng giá,numeric__Tổng
,,,Quyền sử dụng đất VND,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,27.812.438.744,269.774.872.446,13.511.310.895,311.098.622.085,27812438744.0,269774872446.0,13511310895.0,311098622085.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,616.508.080,-,616.508.080,,616508080.0,,616508080.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,27.812.438.744,270.391.380.526,13.511.310.895,311.715.130.165,27812438744.0,270391380526.0,13511310895.0,311715130165.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.326.167.134,18.556.790.953,3.150.911.918,32.033.870.005,10326167134.0,18556790953.0,3150911918.0,32033870005.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,604.618.236,10.771.977.848,-,11.376.596.084,604618236.0,10771977848.0,,11376596084.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.930.785.370,29.328.768.801,3.150.911.918,43.410.466.089,10930785370.0,29328768801.0,3150911918.0,43410466089.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,17.486.271.610,251.218.081.493,10.360.398.977,279.064.752.080,17486271610.0,251218081493.0,10360398977.0,279064752080.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,16.881.653.374,241.062.611.725,10.360.398.977,268.304.664.076,16881653374.0,241062611725.0,10360398977.0,268304664076.0
