row_label_raw,row_label_full,col_0,Tax rate,31/12/2024 VND,1/1/2024 VND,numeric__Tax rate,numeric__31/12/2024 VND,numeric__1/1/2024 VND
Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,,,
Accrued expenses and provisions,Deferred tax assets recognised on: > Accrued expenses and provisions,Accrued expenses and provisions,20%,"76,804,847,180","75,764,978,027",0.2,,
Allowance for diminution in the value of long-term financial investments,Deferred tax assets recognised on: > Allowance for diminution in the value of long-term financial investments,Allowance for diminution in the value of long-term financial investments,20%,"56,149,714,585","61,171,007,842",0.2,,
Unrealised profits,Deferred tax assets recognised on: > Unrealised profits,Unrealised profits,20%,"31,910,006,886","36,318,967,688",0.2,,
"Allowance for inventories and long-term tools, supplies and spare parts","Deferred tax assets recognised on: > Allowance for inventories and long-term tools, supplies and spare parts","Allowance for inventories and long-term tools, supplies and spare parts",20%,"23,719,463,271","25,404,880,205",0.2,,
Allowance for doubtful debts,Deferred tax assets recognised on: > Allowance for doubtful debts,Allowance for doubtful debts,20%,"2,179,550,222","68,345,726",0.2,,
Others,Deferred tax assets recognised on: > Others,Others,20%,"7,743,357,253","7,691,565,034",0.2,,
,,,,"198,506,939,397","206,419,744,522",,,
Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,,,
Allowance for diminution in the value of long-term financial investments,Deferred tax liabilities recognised on: > Allowance for diminution in the value of long-term financial investments,Allowance for diminution in the value of long-term financial investments,20%,"48,073,138,905","49,057,251,548",0.2,,
Tools and instruments,Deferred tax liabilities recognised on: > Tools and instruments,Tools and instruments,20%,"1,134,882,409","1,735,509,047",0.2,,
,,,,"49,208,021,314","50,792,760,595",,,
