row_label_raw,row_label_full,col_0,1/1/2024Carrying amount/Amount within repayment capacity VND,Movements during the year > Increase VND,Movements during the year > Decrease VND,31/12/2024Carrying amount/Amount within repayment capacity VND,numeric__1/1/2024Carrying amount/Amount within repayment capacity VND,numeric__Movements during the year > Increase VND,numeric__Movements during the year > Decrease VND,numeric__31/12/2024Carrying amount/Amount within repayment capacity VND
Short-term borrowings,Short-term borrowings,Short-term borrowings,"528,900,000,000","2,934,074,426,368","(3,218,974,426,368)","244,000,000,000",,,,
Current portion of long-term finance lease liabilities (Note 23(b)),Current portion of long-term finance lease liabilities (Note 23(b)),Current portion of long-term finance lease liabilities (Note 23(b)),"1,229,396,183","16,256,118,387","(16,101,530,821)","1,383,983,749",,,,
,,,"530,129,396,183","2,950,330,544,755","(3,235,075,957,189)","245,383,983,749",,,,
