row_label_raw,row_label_full,col_0,Share capital VND,Other capital VND,Foreign exchange differences VND,Investment and development fund VND,Retained profits VND,Total equity attributable to owners of the Company VND,Non-controlling interests VND,Total VND,numeric__Share capital VND,numeric__Other capital VND,numeric__Foreign exchange differences VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total equity attributable to owners of the Company VND,numeric__Non-controlling interests VND,numeric__Total VND
Balance as at 1 January 2024,Balance as at 1 January 2024,Balance as at 1 January 2024,"12,825,623,720,000","3,208,666,226","43,954,201,299","1,122,241,373,127","10,217,284,050,181","24,212,312,010,833","1,272,845,884,034","25,485,157,894,867",,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"4,330,113,031,371","4,330,113,031,371","164,660,395,541","4,494,773,426,912",,,,,,,,
Dividends (Note 29),Dividends (Note 29),Dividends (Note 29),-,-,-,-,"(5,130,249,488,000)","(5,130,249,488,000)","(159,285,980,659)","(5,289,535,468,659)",,,,,,,,
Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),-,-,-,-,"(109,732,047,438)","(109,732,047,438)","(15,851,952,555)","(125,583,999,993)",,,,,,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,-,-,"(23,885,369,694)","(23,885,369,694)","(745,109,336)","(24,630,479,030)",,,,,,,,
Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),-,-,-,-,"2,932,077,906","2,932,077,906","1,779,355,545","4,711,433,451",,,,,,,,
Adjustments to social activities fund,Adjustments to social activities fund,Adjustments to social activities fund,-,-,-,-,"(240,157,577)","(240,157,577)","(56,214,071)","(296,371,648)",,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,"9,822,165,127",-,-,"9,822,165,127",-,"9,822,165,127",,,,,,,,
Change in proportion of non-controlling interests (Note 5),Change in proportion of non-controlling interests (Note 5),Change in proportion of non-controlling interests (Note 5),-,-,-,"59,468,487,946","(68,420,775,303)","(8,952,287,357)","(108,373,130,998)","(117,325,418,355)",,,,,,,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,"12,825,623,720,000","3,208,666,226","53,776,366,426","1,181,709,861,073","9,217,801,321,446","23,282,119,935,171","1,154,973,247,501","24,437,093,182,672",,,,,,,,
