row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,Tài sãnkhácVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.024.181.907.580,90.425.832.924,104.000.000,1.114.711.740.504,1024181907580.0,90425832924.0,104000000.0,1114711740504.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.517.424.028,-,1.517.424.028,,1517424028.0,,1517424028.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,43.899.175.313,-,43.899.175.313,,43899175313.0,,43899175313.0
Chuyển từ chi phítrả trước dài hạn,Nguyên giá > Chuyển từ chi phítrả trước dài hạn,Chuyển từ chi phítrả trước dài hạn,13.811.760.000,-,-,13.811.760.000,13811760000.0,,,13811760000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(106.100.000),-,(106.100.000),,-106100000.0,,-106100000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.037.993.667.580,135.736.332.265,104.000.000,1.173.833.999.845,1037993667580.0,135736332265.0,104000000.0,1173833999845.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,110.579.498.544,80.944.231.106,104.000.000,191.627.729.650,110579498544.0,80944231106.0,104000000.0,191627729650.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.056.385.510,17.716.592.469,-,24.772.977.979,7056385510.0,17716592469.0,,24772977979.0
Chuyển từ chi phí tràtrước dài hạn,Giá trị hao mòn lũy kế > Chuyển từ chi phí tràtrước dài hạn,Chuyển từ chi phí tràtrước dài hạn,181.733.681,-,-,181.733.681,181733681.0,,,181733681.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(106.100.000),-,(106.100.000),,-106100000.0,,-106100000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,117.817.617.735,98.554.723.575,104.000.000,216.476.341.310,117817617735.0,98554723575.0,104000000.0,216476341310.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,913.602.409.036,9.481.601.818,-,923.084.010.854,913602409036.0,9481601818.0,,923084010854.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,920.176.049.845,37.181.608.690,-,957.357.658.535,920176049845.0,37181608690.0,,957357658535.0
