row_label_raw,row_label_full,col_0,2024VND,2023VND(Restated),numeric__2024VND,numeric__2023VND(Restated)
Net profit for the year,Net profit for the year,Net profit for the year,"4,330,113,031,371","4,117,605,068,688",,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,"(109,732,047,438)","(97,772,199,022)",,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"4,220,380,983,933","4,019,832,869,666",,
