row_label_raw,row_label_full,col_0,1/1/2024VND,Net-offVND,Reclassified from taxes payableVND,31/12/2024VND,numeric__1/1/2024VND,numeric__Net-offVND,numeric__Reclassified from taxes payableVND,numeric__31/12/2024VND
Corporate income tax,Corporate income tax,Corporate income tax,"199,213,599","(40,765,796)","1,689,005,823","1,847,453,626",,,,
Personal income tax,Personal income tax,Personal income tax,"809,334,853","(728,612,451)","1,640,585,774","1,721,308,176",,,,
Value added tax,Value added tax,Value added tax,-,-,"146,392,491","146,392,491",,,,
Import-export tax,Import-export tax,Import-export tax,"2,082,000",-,-,"2,082,000",,,,
Other taxes,Other taxes,Other taxes,"13,227,311,228","(8,741,497,188)",-,"4,485,814,040",,,,
,,,"14,237,941,680","(9,510,875,435)","3,475,984,088","8,203,050,333",,,,
