row_label_raw,row_label_full,Company name,31/12/2024 > Equity accounted VND,31/12/2024 > Fair value VND,31/12/2024 > Allowance VND,1/1/2024 > Equity accounted VND,1/1/2024 > Fair value VND,1/1/2024 > Allowance VND,numeric__31/12/2024 > Equity accounted VND,numeric__31/12/2024 > Fair value VND,numeric__31/12/2024 > Allowance VND,numeric__1/1/2024 > Equity accounted VND,numeric__1/1/2024 > Fair value VND,numeric__1/1/2024 > Allowance VND
Investments in associates,Investments in associates,Investments in associates,,,,,,,,,,,,
• Truong Sa Food - Food Business Joint Stock Company,• Truong Sa Food - Food Business Joint Stock Company,• Truong Sa Food - Food Business Joint Stock Company,-,-,-,"4,877,957,385",(*),"(4,877,957,381)",,,,,,
• Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,• Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,• Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,"329,653,546",(*),-,"329,653,546",(*),-,,,,,,
• Saigon - Phutho Beer Joint Stock Company,• Saigon - Phutho Beer Joint Stock Company,• Saigon - Phutho Beer Joint Stock Company,"64,591,723,954","41,975,224,200",-,"67,293,680,882","46,363,600,800",-,,,,,,
• Mechanical and Industrial Construction Joint Stock Company,• Mechanical and Industrial Construction Joint Stock Company,• Mechanical and Industrial Construction Joint Stock Company,"6,863,792,917",(*),-,"6,863,792,917",(*),-,,,,,,
• Saigon Tay Do Beer - Beverage Joint Stock Company,• Saigon Tay Do Beer - Beverage Joint Stock Company,• Saigon Tay Do Beer - Beverage Joint Stock Company,"95,654,536,078",(*),-,"94,249,459,836",(*),-,,,,,,
• Saigon Binh Tay Beer Group Joint Stock Company,• Saigon Binh Tay Beer Group Joint Stock Company,• Saigon Binh Tay Beer Group Joint Stock Company,"345,174,627,629","345,149,557,133",-,"412,814,261,765","335,588,389,429",-,,,,,,
• Sai Gon - Mien Trung Beer Joint Stock Company,• Sai Gon - Mien Trung Beer Joint Stock Company,• Sai Gon - Mien Trung Beer Joint Stock Company,"193,847,703,264","415,928,809,000",-,"192,997,567,729","357,892,231,000",-,,,,,,
• Tan Thanh Investment Trading Company Limited,• Tan Thanh Investment Trading Company Limited,• Tan Thanh Investment Trading Company Limited,"70,829,555,721",(*),"(70,829,555,721)","70,829,555,721",(*),"(70,829,555,721)",,,,,,
• Saigon - Baclieu Beer Joint Stock Company,• Saigon - Baclieu Beer Joint Stock Company,• Saigon - Baclieu Beer Joint Stock Company,"36,621,395,335","15,834,218,400",-,"37,280,572,663","19,788,568,800",-,,,,,,
• Sai Gon - Vinh Long Beer Joint Stock Company,• Sai Gon - Vinh Long Beer Joint Stock Company,• Sai Gon - Vinh Long Beer Joint Stock Company,"46,078,173,106",(*),-,"45,606,308,837",(*),-,,,,,,
• Sai Gon - Kien Giang Beer Joint Stock Company,• Sai Gon - Kien Giang Beer Joint Stock Company,• Sai Gon - Kien Giang Beer Joint Stock Company,-,(*),-,-,(*),-,,,,,,
• Sai Gon - Khanh Hoa Beer Joint Stock Company,• Sai Gon - Khanh Hoa Beer Joint Stock Company,• Sai Gon - Khanh Hoa Beer Joint Stock Company,"48,383,739,373",(*),-,"47,812,472,419",(*),-,,,,,,
• Saigon - Bentre Beer Joint Stock Company,• Saigon - Bentre Beer Joint Stock Company,• Saigon - Bentre Beer Joint Stock Company,"27,296,370,024",(*),-,"25,693,485,751",(*),-,,,,,,
Investments in jointly controlled entities,Investments in jointly controlled entities,Investments in jointly controlled entities,,,,,,,,,,,,
• Me Linh Point Limited,• Me Linh Point Limited,• Me Linh Point Limited,"116,330,114,039",(*),-,"116,489,270,590",(*),-,,,,,,
• Crown Beverage Cans Saigon Limited,• Crown Beverage Cans Saigon Limited,• Crown Beverage Cans Saigon Limited,"827,689,104,234",(*),-,"700,702,322,675",(*),-,,,,,,
• Malaya - Vietnam Glass Limited,• Malaya - Vietnam Glass Limited,• Malaya - Vietnam Glass Limited,"344,609,214,183",(*),-,"316,511,068,418",(*),-,,,,,,
• San Miguel Yamamura Phu Tho Packaging Company Limited,• San Miguel Yamamura Phu Tho Packaging Company Limited,• San Miguel Yamamura Phu Tho Packaging Company Limited,"64,476,696,449",(*),-,"67,001,146,482",(*),-,,,,,,
• Vietnam Spirits and Wine Ltd,• Vietnam Spirits and Wine Ltd,• Vietnam Spirits and Wine Ltd,"16,062,160,950",(*),-,"22,831,353,000",(*),-,,,,,,
,,,"2,304,838,560,802",,"(70,829,555,721)","2,230,183,930,616",,"(75,707,513,102)",,,,,,
