row_label_raw,row_label_full,col_0,Share capital VND,Other capital VND,Foreign exchange differences VND,Investment and development fund VND,Retained profits VND,Total equity attributable to owners of the Company VND,Non-controlling interests VND,Total VND,numeric__Share capital VND,numeric__Other capital VND,numeric__Foreign exchange differences VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total equity attributable to owners of the Company VND,numeric__Non-controlling interests VND,numeric__Total VND
Balance as at 1 January 2023,Balance as at 1 January 2023,Balance as at 1 January 2023,"6,412,811,860,000","3,208,666,226","37,136,373,047","1,122,241,373,127","15,564,895,669,872","23,140,293,942,272","1,450,551,977,121","24,590,845,919,393",,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"4,117,605,068,688","4,117,605,068,688","137,447,927,021","4,255,052,995,709",,,,,,,,
Bonus shares (Note 29),Bonus shares (Note 29),Bonus shares (Note 29),"6,412,811,860,000",-,-,-,"(6,412,811,860,000)",-,-,-,,,,,,,,
Dividends (Note 29),Dividends (Note 29),Dividends (Note 29),-,-,-,-,"(2,885,765,337,000)","(2,885,765,337,000)","(151,819,075,102)","(3,037,584,412,102)",,,,,,,,
Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),-,-,-,-,"(100,704,276,928)","(100,704,276,928)","(15,617,038,271)","(116,321,315,199)",,,,,,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,-,-,"(22,402,818,968)","(22,402,818,968)","(790,976,515)","(23,193,795,483)",,,,,,,,
Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),-,-,-,-,"(22,040,207,391)","(22,040,207,391)","(4,055,022,930)","(26,095,230,321)",,,,,,,,
Adjustments to social activities fund,Adjustments to social activities fund,Adjustments to social activities fund,-,-,-,-,"157,659,392","157,659,392","132,394,526","290,053,918",,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,"6,817,828,252",-,-,"6,817,828,252",-,"6,817,828,252",,,,,,,,
Change in proportion of non-controlling interests (Note 5),Change in proportion of non-controlling interests (Note 5),Change in proportion of non-controlling interests (Note 5),-,-,-,-,"(21,649,847,484)","(21,649,847,484)","(143,004,301,816)","(164,654,149,300)",,,,,,,,
Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,"12,825,623,720,000","3,208,666,226","43,954,201,299","1,122,241,373,127","10,217,284,050,181","24,212,312,010,833","1,272,845,884,034","25,485,157,894,867",,,,,,,,
