row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,31/12/2024,31/12/2024_1,1/1/2024,1/1/2024_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__31/12/2024,numeric__31/12/2024_1,numeric__1/1/2024,numeric__1/1/2024_1
STT,STT,STT,Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
I,I,I,Công ty con,,,,,,,,,,,
1,I > 1,1,Công ty Cổ phần Bia Sài Gôn - Miền Tây,Sản xuất và kinh doanh bia,"84,46%","84,46%","70,55%","70,55%",,,0.8445999999999999,0.8445999999999999,0.7055,0.7055
2,I > 2,2,Công ty Cổ phần Nước Giải Khát Chương Dương,"Sản xuất, kinh doanh nước giải khát, đồ hộp và phụ liệu","62,06%","62,06%","62,06%","62,06%",,,0.6206,0.6206,0.6206,0.6206
3,I > 3,3,Công ty Cổ phần Bia Sài Gôn - Quảng Ngãi,Sản xuất và kinh doanh bia,"66,56%","66,56%","66,56%","66,56%",,,0.6656,0.6656,0.6656,0.6656
4,I > 4,4,Công ty Cổ phần Rượu Bình Tây,Sản xuất và kinh doanh rượu,"93,32%","93,47%","93,32%","93,47%",,,0.9331999999999999,0.9347,0.9331999999999999,0.9347
5,I > 5,5,"Công ty Cổ phần Bia, Rượu Sài Gôn - Đồng Xuân",Sản xuất và kinh doanh bia và nước giải khát có ga,"55,90%","56,24%","55,90%","56,24%",,,0.5589999999999999,0.5624,0.5589999999999999,0.5624
6,I > 6,6,Công ty Cổ phần Bia Sài Gôn - Nghệ Tĩnh,"Sản xuất và kinh doanh bia, rượu và nước giải khát","54,73%","54,73%","54,73%","54,73%",,,0.5473,0.5473,0.5473,0.5473
7,I > 7,7,Công ty Cổ phần Bia Sài Gôn - Sông Lam,Sản xuất và kinh doanh bia và nước giải khát; xuất nhập khẩu các nguyên vật liệu liên quan,"68,78%","68,78%","68,78%","68,78%",,,0.6878,0.6878,0.6878,0.6878
8,I > 8,8,Công ty Cổ phần Bia Sài Gôn - Hà Nội,Sản xuất và kinh doanh bia và nước giải khát; xuất nhập khẩu các nguyên vật liệu liên quan,"52,11%","52,11%","52,11%","52,11%",,,0.5211,0.5211,0.5211,0.5211
9,I > 9,9,Công ty TNHH Một Thành viên Thương mại Bia Sài Gôn,"Kinh doanh bia, rượu và nước giải khát",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
10,I > 10,10,Công ty Cổ phần Thương mại Bia Sài Gôn Miền Bắc,"Kinh doanh bia, rượu và nước giải khát; cung cấp dịch vụ vận chuyển hàng hóa và cho thuê kho bãi","90,00%","90,00%","90,00%","90,00%",,,0.9,0.9,0.9,0.9
11,I > 11,11,Công ty Cổ phần Thương mại Bia Sài Gôn Bắc Trung Bộ,"Kinh doanh bia, rượu và nước giải khát; cung cấp dịch vụ vận chuyển hàng hóa và cho thuê kho bãi","95,07%","95,07%","95,07%","95,07%",,,0.9506999999999999,0.9506999999999999,0.9506999999999999,0.9506999999999999
12,I > 12,12,Công ty Cổ phần Thương mại Bia Sài Gôn Trung tâm,"Bán buôn bia, đồ uống có cơn; bán buôn đồ uống không có cơn; bán buôn hóa chất khác, cơn; mua bán bao bit; kinh doanh vận tải hàng hóa bằng ô tô","94,47%","94,47%","94,45%","94,45%",,,0.9447,0.9447,0.9445,0.9445
13,I > 13,13,Công ty Cổ phần Thương mại Bia Sài Gôn Miền Trung,"Kinh doanh bia, rượu và nước giải khát; kinh doanh kho bãi và dịch vụ vận tải hàng hóa bằng ô tô","91,24%","91,24%","91,24%","91,24%",,,0.9124,0.9124,0.9124,0.9124
