row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá quy đổi ngoại tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá quy đổi ngoại tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,12.825.623.720.000,3.208.666.226,43.954.201.299,1.122.241.373.127,10.217.284.050.181,24.212.312.010.833,1.272.845.884.034,25.485.157.894.867,12825623720000.0,3208666226.0,43954201299.0,1122241373127.0,10217284050181.0,24212312010833.0,1272845884034.0,25485157894867.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.330.113.031.371(5.130.249.488.000),4.330.113.031.371(5.130.249.488.000),164.660.395.541(159.285.980.659),4.494.773.426.912(5.289.535.468.659),,,,,,,,
Cổ tức bằng tiền (Thuyết minh 29),Cổ tức bằng tiền (Thuyết minh 29),Cổ tức bằng tiền (Thuyết minh 29),-,-,-,-,4.330.113.031.371(5.130.249.488.000),4.330.113.031.371(5.130.249.488.000),164.660.395.541(159.285.980.659),4.494.773.426.912(5.289.535.468.659),,,,,,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,(109.732.047.438)(23.885.369.694),(109.732.047.438)(23.885.369.694),(15.851.952.555)(745.109.336),(125.583.999.993)(24.630.479.030),,,,,,,,
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,(109.732.047.438)(23.885.369.694),(109.732.047.438)(23.885.369.694),(15.851.952.555)(745.109.336),(125.583.999.993)(24.630.479.030),,,,,,,,
"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,2.932.077.906(240.157.577),2.932.077.906(240.157.577),1.779.355.545(56.214.071),4.711.433.451(296.371.648),,,,,,,,
Điều chính quỹ công tác xã hội,"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24) > Điều chính quỹ công tác xã hội",Điều chính quỹ công tác xã hội,-,-,-,-,-,9.822.165.127,-,9.822.165.127,,,,,,9822165127.0,,9822165127.0
Chênh lệch tỷ giá quy đổi ngoại tệ,"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24) > Chênh lệch tỷ giá quy đổi ngoại tệ",Chênh lệch tỷ giá quy đổi ngoại tệ,-,-,9.822.165.127,-,-,9.822.165.127,-,9.822.165.127,,,9822165127.0,,,9822165127.0,,9822165127.0
Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 5),"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24) > Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 5)",Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 5),-,-,-,59.468.487.946,(68.420.775.303),(8.952.287.357),(108.373.130.998),(117.325.418.355),,,,59468487946.0,-68420775303.0,-8952287357.0,-108373130998.0,-117325418355.0
Số dư tại ngày 31 tháng 12 năm 2024,"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24) > Số dư tại ngày 31 tháng 12 năm 2024",Số dư tại ngày 31 tháng 12 năm 2024,12.825.623.720.000,3.208.666.226,53.776.366.426,1.181.709.861.073,9.217.801.321.446,23.282.119.935.171,1.154.973.247.501,24.437.093.182.672,12825623720000.0,3208666226.0,53776366426.0,1181709861073.0,9217801321446.0,23282119935171.0,1154973247501.0,24437093182672.0
