row_label_raw,row_label_full,col_0,Buildings and structures VND,numeric__Buildings and structures VND
Cost,Cost,Cost,Cost,
Opening and closing balances,Opening and closing balances,Opening and closing balances,"173,582,726,065",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
Opening balance,Opening balance,Opening balance,"16,551,477,642",
Charge for the year,Charge for the year,Charge for the year,"5,244,883,824",
Closing balance,Closing balance,Closing balance,"21,796,361,466",
Net book value,Net book value,Net book value,Net book value,
Opening balance,Opening balance,Opening balance,"157,031,248,423",
Closing balance,Closing balance,Closing balance,"151,786,364,599",
