row_label_raw,row_label_full,col_0,Code,Note,2024 VND,2023 VND,numeric__Code,numeric__Note,numeric__2024 VND,numeric__2023 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,31,"32,164,260,254,074","30,706,760,090,689",1.0,31.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,31,"291,842,767,418","245,392,808,474",2.0,31.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,31,"31,872,417,486,656","30,461,367,282,215",10.0,31.0,,
Cost of sales,Cost of sales,Cost of sales,11,32,"22,554,220,918,390","21,370,004,777,980",11.0,32.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"9,318,196,568,266","9,091,362,504,235",20.0,,,
Financial income,Financial income,Financial income,21,33,"1,067,078,171,491","1,432,568,520,354",21.0,33.0,,
Financial expenses,Financial expenses,Financial expenses,22,34,"24,787,963,014","73,433,682,681",22.0,34.0,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"27,449,548,631","50,214,725,919",23.0,,,
Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,24,7(c),"197,444,756,654","232,053,894,657",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,35,"4,041,556,507,837","4,479,227,839,581",25.0,35.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,36,"839,413,837,596","800,691,619,935",26.0,36.0,,
Net operating profit{30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,"5,676,961,187,964","5,402,631,777,049",30.0,,,
Other income,Other income,Other income,31,,"28,313,181,138","17,484,692,469",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"57,915,740,936","49,706,065,223",32.0,,,
Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),40,,"(29,602,559,798)","(32,221,372,754)",40.0,,,
Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),50,,"5,647,358,628,166","5,370,410,404,295",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,38,"1,146,257,135,410","1,099,082,811,973",51.0,38.0,,
Income tax expense – deferred,Income tax expense – deferred,Income tax expense – deferred,52,38,"6,328,065,844","16,274,596,613",52.0,38.0,,
Net profit after tax (60 = 50 - 51 - 52)(carried forward to next page),Net profit after tax (60 = 50 - 51 - 52)(carried forward to next page),Net profit after tax (60 = 50 - 51 - 52)(carried forward to next page),60,,"4,494,773,426,912","4,255,052,995,709",60.0,,,
