row_label_raw,row_label_full,col_0,Code,Note,31/12/2024 VND,1/1/2024 VND,numeric__Code,numeric__Note,numeric__31/12/2024 VND,numeric__1/1/2024 VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"9,002,313,181,979","8,571,466,944,838",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"8,657,140,531,800","8,224,608,450,196",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,19,"2,642,248,117,160","2,476,372,806,838",311.0,19.0,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"94,511,172,026","44,800,935,324",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,20(a),"1,320,861,485,986","1,358,515,637,834",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"128,685,159,625","235,426,444,878",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,21,"515,857,469,477","486,177,414,768",315.0,21.0,,
Unearned revenue – short-term,RESOURCES > Unearned revenue – short-term,Unearned revenue – short-term,318,,"228,181,821",-,318.0,,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,22(a),"3,509,694,004,122","2,898,696,098,647",319.0,,,
Short-term borrowings and finance lease liabilities,RESOURCES > Short-term borrowings and finance lease liabilities,Short-term borrowings and finance lease liabilities,320,23(a),"245,383,983,749","530,129,396,183",320.0,,,
Provision – short-term,RESOURCES > Provision – short-term,Provision – short-term,321,,"251,473,420","119,220,000",321.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,24,"199,419,484,414","194,370,495,724",322.0,24.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"345,172,650,179","346,858,494,642",330.0,,,
Long-term accounts payable to suppliers,RESOURCES > Long-term accounts payable to suppliers,Long-term accounts payable to suppliers,331,,"100,000,000","100,000,000",331.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,22(b),"57,113,360,289","55,725,069,062",337.0,,,
Long-term finance lease liabilities,RESOURCES > Long-term finance lease liabilities,Long-term finance lease liabilities,338,23(b),"169,444,430,406","170,828,414,155",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,18,"49,208,021,314","50,792,760,595",341.0,18.0,,
Provision – long-term,RESOURCES > Provision – long-term,Provision – long-term,342,25,"69,306,838,170","69,412,250,830",342.0,25.0,,
