row_label_raw,row_label_full,No.,Company name,Principal activities,31/12/2024 > % of equity interest,31/12/2024 > % of voting rights,1/1/2024 > % of equity interest,1/1/2024 > % of voting rights,numeric__Company name,numeric__Principal activities,numeric__31/12/2024 > % of equity interest,numeric__31/12/2024 > % of voting rights,numeric__1/1/2024 > % of equity interest,numeric__1/1/2024 > % of voting rights
II,II,II,Associates,,,,,,,,,,,
1,II > 1,1,Truong Sa Food - Food Business Joint Stock Company,Producing agricultural products and foods,-,-,38.62%,38.98%,,,,,38.62,38.98
2,II > 2,2,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company (**),Providing consulting construction and designing services,28.57%,28.57%,28.57%,28.57%,,,28.57,28.57,28.57,28.57
3,II > 3,3,Saigon - Phutho Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",30.84%,33.85%,30.84%,33.85%,,,30.84,33.85,30.84,33.85
4,II > 4,4,Mechanical and Industrial Construction Joint Stock Company (**),"Manufacturing, installing machinery, bridges and roads and industrial construction products",26.00%,26.00%,26.00%,26.00%,,,26.0,26.0,26.0,26.0
5,II > 5,5,Saigon Tay Do Beer - Beverage Joint Stock Company (**),"Producing and trading beer, alcohol, beverage, soya milk and fruit juice",30.79%,34.92%,29.47%,34.92%,,,30.79,34.92,29.47,34.92
6,II > 6,6,Saigon Binh Tay Beer Group Joint Stock Company (**),"Producing, processing and trading food, beverage, beer and alcohol drinks",21.80%,22.18%,21.80%,22.18%,,,21.8,22.18,21.8,22.18
7,II > 7,7,Sai Gon - Mien Trung Beer Joint Stock Company,"Producing and trading beer, alcohol, beverage and spare parts",32.40%,32.41%,32.40%,32.41%,,,32.4,32.41,32.4,32.41
8,II > 8,8,Tan Thanh Investment Trading Company Limited,Construction and real estates,29.00%,29.00%,29.00%,29.00%,,,29.0,29.0,29.0,29.0
9,II > 9,9,Saigon - Baclieu Beer Joint Stock Company (**),"Producing and trading beer, alcohol and beverages",16.89%,20.00%,14.11%,20.00%,,,16.89,20.0,14.11,20.0
10,II > 10,10,Sai Gon - Vinh Long Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",20.00%,20.00%,20.00%,20.00%,,,20.0,20.0,20.0,20.0
11,II > 11,11,Sai Gon - Kien Giang Beer Joint Stock Company,"Producing and trading beer, alcohol, beverage and spare parts",20.00%,20.00%,20.00%,20.00%,,,20.0,20.0,20.0,20.0
12,II > 12,12,Sai Gon - Khanh Hoa Beer Joint Stock Company,"Producing and trading beer, alcohol, beverage and spare parts",26.00%,26.00%,26.00%,26.00%,,,26.0,26.0,26.0,26.0
13,II > 13,13,Saigon - Bentre Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",20.00%,20.00%,20.00%,20.00%,,,20.0,20.0,20.0,20.0
