row_label_raw,row_label_full,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Name,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Address,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Principal activity,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Percentage of economic interests at31/12/2023,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > 1/1/2023,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Address,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Principal activity,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > Percentage of economic interests at31/12/2023,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > 1/1/2023
H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,"(ii) Shanghai, PRC",Trading and distribution,100%,100%,,,1.0,1.0
H.C. Starck Canada Inc.,H.C. Starck Canada Inc.,H.C. Starck Canada Inc.,"(ii) Sarnia, Ontario, Canada",Deep processing of nonferrous metals and precious metals (Tungsten),100%,100%,,,1.0,1.0
H.C. Starck Tungsten GK,H.C. Starck Tungsten GK,H.C. Starck Tungsten GK,"(ii) Tokyo, Japan",Trading and distribution,100%,100%,,,1.0,1.0
H.C. Starck Tungsten LLC,H.C. Starck Tungsten LLC,H.C. Starck Tungsten LLC,"(ii) Newton, USA",Trading and distribution,100%,100%,,,1.0,1.0
Chemitas GmbH (***),Chemitas GmbH (***),Chemitas GmbH (***),"(ii) Goslar, Germany","Energy supply, waste management and logistics services",100%,-,,,1.0,
"H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","(ii) Ganzhou, China",Deep processing of nonferrous metals and precious metals (Tungsten),60%,60%,,,0.6,0.6
Associates,Associates,Associates,Associates,Associates,Associates,Associates,,,,
Name,Name,Name,Address,Principal activity,Percentage of economic interests at31/12/2023 and 1/1/2023,Percentage of economic interests at31/12/2023 and 1/1/2023,,,,
Indirect associates,Indirect associates,Indirect associates,Indirect associates,Indirect associates,Indirect associates,Indirect associates,,,,
"Jiangwu H.C. Starck Tungsten Products Co., Ltd.","Indirect associates > Jiangwu H.C. Starck Tungsten Products Co., Ltd.","Jiangwu H.C. Starck Tungsten Products Co., Ltd.","(ii) Ganzhou, China",Deep processing of nonferrous metals and precious metals (Tungsten),30%,30%,,,0.3,0.3
