row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua Nghìn VND,Các điều chỉnh giá trị hợp lý Nghìn VND,Giá trị ghi nhận tại thời điểm mua Nghìn VND,numeric__Giá trị ghi số trước thời điểm mua Nghìn VND,numeric__Các điều chỉnh giá trị hợp lý Nghìn VND,numeric__Giá trị ghi nhận tại thời điểm mua Nghìn VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,338.149.189,-,338.149.189,338149189.0,,338149189.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,42.308.773,-,42.308.773,42308773.0,,42308773.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,265.015.024,-,265.015.024,265015024.0,,265015024.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,73.526.033,341.267.272,414.793.305,73526033.0,341267272.0,414793305.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,19.718.057,30.183.740,49.901.797,19718057.0,30183740.0,49901797.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,21.070.721,-,21.070.721,21070721.0,,21070721.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,-,32.524.204,32.524.204,,32524204.0,32524204.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(232.519.072),-,(232.519.072),-232519072.0,,-232519072.0
Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,(450.773.420),(13.402.939),(464.176.359),-450773420.0,-13402939.0,-464176359.0
Tổng tài sản và nợ phải trả thuần có thể xác định được,Tổng tài sản và nợ phải trả thuần có thể xác định được,Tổng tài sản và nợ phải trả thuần có thể xác định được,76.495.305,390.572.277,467.067.582,76495305.0,390572277.0,467067582.0
Lợi thế thương mại âm (lãi từ giao dịch mua giá rè) do hợp nhất kinh doanh,Lợi thế thương mại âm (lãi từ giao dịch mua giá rè) do hợp nhất kinh doanh,Lợi thế thương mại âm (lãi từ giao dịch mua giá rè) do hợp nhất kinh doanh,,,(117.106.706),,,-117106706.0
Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,,,349.960.876,,,349960876.0
