row_label_raw,row_label_full,col_0,Buildings and structures VND'000,Machinery and equipment VND'000,Office equipment VND'000,Motor vehicles VND'000,Other mining assets VND'000,Total VND'000,numeric__Buildings and structures VND'000,numeric__Machinery and equipment VND'000,numeric__Office equipment VND'000,numeric__Motor vehicles VND'000,numeric__Other mining assets VND'000,numeric__Total VND'000
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"6,874,514,849","17,354,900,335","42,933,174","21,400,899","5,095,926,136","29,389,675,393",,,,,,
Increase due to business combination,Increase due to business combination,Increase due to business combination,"170,957,300","314,027,279",-,-,-,"484,984,579",,,,,,
Additions,Additions,Additions,"5,462,119","84,563,819",-,-,-,"90,025,938",,,,,,
Transfer from construction in progress (Note 15),Additions > Transfer from construction in progress (Note 15),Transfer from construction in progress (Note 15),"196,934,359","143,528,964",-,"905,712",-,"341,369,035",,,,905.712,,
Disposals,Additions > Disposals,Disposals,"(42,802)","(4,898,371)",-,"(4,818,262)",-,"(9,759,435)",-42.802,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"76,740,265","222,805,486",-,-,-,"299,545,751",,,,,,
Closing balance,Closing balance,Closing balance,"7,324,566,090","18,114,927,512","42,933,174","17,488,349","5,095,926,136","30,595,841,261",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"2,297,475,364","8,524,100,940","41,677,958","17,377,047","1,644,726,196","12,525,357,505",,,,,,
Increase due to business combination,Increase due to business combination,Increase due to business combination,"12,529,456","57,661,818",-,-,-,"70,191,274",,,,,,
Charge for the year,Increase due to business combination > Charge for the year,Charge for the year,"290,772,824","638,008,232","574,786","2,008,932","120,458,665","1,051,823,439",,,574.786,,,
Disposals,Increase due to business combination > Disposals,Disposals,"(11,558)","(3,741,916)",-,"(4,818,262)",-,"(8,571,736)",-11.558,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"21,671,374","158,633,925",-,-,-,"180,305,299",,,,,,
Closing balance,Closing balance,Closing balance,"2,622,437,460","9,374,662,999","42,252,744","14,567,717","1,765,184,861","13,819,105,781",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"4,577,039,485","8,830,799,395","1,255,216","4,023,852","3,451,199,940","16,864,317,888",,,,,,
Closing balance,Opening balance > Closing balance,Closing balance,"4,702,128,630","8,740,264,513","680,430","2,920,632","3,330,741,275","16,776,735,480",,,680.43,,,
