row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.874.514.849,17.354.900.335,42.933.174,21.400.899,5.095.926.136,29.389.675.393,6874514849.0,17354900335.0,42933174.0,21400899.0,5095926136.0,29389675393.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,170.957.300,314.027.279,-,-,-,484.984.579,170957300.0,314027279.0,,,,484984579.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.462.119,84.563.819,-,-,-,90.025.938,5462119.0,84563819.0,,,,90025938.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),196.934.359,143.528.964,-,905.712,-,341.369.035,196934359.0,143528964.0,,905712.0,,341369035.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(42.802),(4.898.371),-,(4.818.262),-,(9.759.435),-42802.0,-4898371.0,,-4818262.0,,-9759435.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,76.740.265,222.805.486,-,-,-,299.545.751,76740265.0,222805486.0,,,,299545751.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.324.566.090,18.114.927.512,42.933.174,17.488.349,5.095.926.136,30.595.841.261,7324566090.0,18114927512.0,42933174.0,17488349.0,5095926136.0,30595841261.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.297.475.364,8.524.100.940,41.677.958,17.377.047,1.644.726.196,12.525.357.505,2297475364.0,8524100940.0,41677958.0,17377047.0,1644726196.0,12525357505.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,12.529.456,57.661.818,-,-,-,70.191.274,12529456.0,57661818.0,,,,70191274.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,290.772.824,638.008.232,574.786,2.008.932,120.458.665,1.051.823.439,290772824.0,638008232.0,574786.0,2008932.0,120458665.0,1051823439.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(11.558),(3.741.916),-,(4.818.262),-,(8.571.736),-11558.0,-3741916.0,,-4818262.0,,-8571736.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,21.671.374,158.633.925,-,-,-,180.305.299,21671374.0,158633925.0,,,,180305299.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.622.437.460,9.374.662.999,42.252.744,14.567.717,1.765.184.861,13.819.105.781,2622437460.0,9374662999.0,42252744.0,14567717.0,1765184861.0,13819105781.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.577.039.485,8.830.799.395,1.255.216,4.023.852,3.451.199.940,16.864.317.888,4577039485.0,8830799395.0,1255216.0,4023852.0,3451199940.0,16864317888.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.702.128.630,8.740.264.513,680.430,2.920.632,3.330.741.275,16.776.735.480,4702128630.0,8740264513.0,680430.0,2920632.0,3330741275.0,16776735480.0
