row_label_raw,row_label_full,col_0,2023VND'000,2022VND'000,numeric__2023VND'000,numeric__2022VND'000
Accounting loss before tax,Accounting loss before tax,Accounting loss before tax,"(1,654,012,824)","(22,646,401)",,
Tax at the Company tax rate,Tax at the Company tax rate,Tax at the Company tax rate,"(330,802,565)","(4,529,280)",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"3,538,801","1,074,771",,
Tax incentives,Tax incentives,Tax incentives,"(9,205,132)","(20,022,083)",,
Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,"(7,739,568)","(62,717,172)",,
Effect of different tax rate in other income and recognized deferred tax,Effect of different tax rate in other income and recognized deferred tax,Effect of different tax rate in other income and recognized deferred tax,"4,514,359","(19,607,289)",,
Tax losses utilised,Effect of different tax rate in other income and recognized deferred tax > Tax losses utilised,Tax losses utilised,"(55,336)","(13,005,112)",-55.336,
Under/(over) provision for prior years,Effect of different tax rate in other income and recognized deferred tax > Under/(over) provision for prior years,Under/(over) provision for prior years,"356,692","(2,403,641)",356.692,
Reversal of write-down of deferred tax assets,Reversal of write-down of deferred tax assets,Reversal of write-down of deferred tax assets,"(12,206,750)","(66,541,153)",,
Deferred tax assets not recognised in respect of tax losses,Deferred tax assets not recognised in respect of tax losses,Deferred tax assets not recognised in respect of tax losses,"68,577,140",-,,
Change in unrecognised deferred tax assets arise from temporary differences,Change in unrecognised deferred tax assets arise from temporary differences,Change in unrecognised deferred tax assets arise from temporary differences,"158,620,236","59,953,500",,
,,,"(124,402,123)","(127,797,459)",,
