row_label_raw,row_label_full,The Group comprises the following geographical segments:,The Group comprises the following geographical segments:_1,The Group comprises the following geographical segments:_2,The Group comprises the following geographical segments:_3,The Group comprises the following geographical segments:_4,The Group comprises the following geographical segments:_5,The Group comprises the following geographical segments:_6,The Group comprises the following geographical segments:_7,The Group comprises the following geographical segments:_8,The Group comprises the following geographical segments:_9,numeric__The Group comprises the following geographical segments:_1,numeric__The Group comprises the following geographical segments:_2,numeric__The Group comprises the following geographical segments:_3,numeric__The Group comprises the following geographical segments:_4,numeric__The Group comprises the following geographical segments:_5,numeric__The Group comprises the following geographical segments:_6,numeric__The Group comprises the following geographical segments:_7,numeric__The Group comprises the following geographical segments:_8,numeric__The Group comprises the following geographical segments:_9
,,,Vietnam VND'000,Belgium VND'000,Germany VND'000,Japan VND'000,USA VND'000,China VND'000,Luxembourg VND'000,Others VND'000,Total VND'000,,,,,,,,,
2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0
External revenue,External revenue,External revenue,"1,014,454,613","48,893,597","2,389,630,183","668,071,851","2,543,256,314","2,960,525,219","1,344,266,403","3,124,155,307","14,093,253,487",,,,,,,,,
Segment assets,Segment assets,Segment assets,"29,832,107,903",-,"5,778,317,854","205,438,621","707,550,110","1,478,763,125","239,183,131","2,130,995,369","40,372,356,113",,,,,,,,,
Capital expenditure,Capital expenditure,Capital expenditure,"723,972,060",-,"93,299,974",-,-,"22,086,722",-,"10,043,653","849,402,409",,,,,,,,,
,,,Vietnam VND'000,Belgium VND'000,Germany VND'000,Japan VND'000,USA VND'000,China VND'000,Luxembourg VND'000,Others VND'000,Total VND'000,,,,,,,,,
2022,Capital expenditure > 2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0
External revenue,External revenue,External revenue,"62,729,553","161,866,133","2,536,010,744","1,365,710,654","3,394,402,865","2,792,535,048","1,709,453,626","3,526,839,031","15,549,547,654",,,,,,,,,
Segment assets,Segment assets,Segment assets,"30,980,230,857",-,"4,512,600,316","284,784,080","1,579,649,622","1,636,333,070","480,097,514","2,047,304,730","41,521,000,189",,,,,,,,,
Capital expenditure,Capital expenditure,Capital expenditure,"1,211,261,643",-,"76,692,387",-,-,"18,310,495",-,"23,771,971","1,330,036,496",,,,,,,,,
