row_label_raw,row_label_full,col_0,Pre-acquisition carrying amounts VND'000,Fair value adjustments VND'000,Recognised value on acquisition VND'000,numeric__Pre-acquisition carrying amounts VND'000,numeric__Fair value adjustments VND'000,numeric__Recognised value on acquisition VND'000
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,"338,149,189",-,"338,149,189",,,
Inventories – net,Inventories – net,Inventories – net,"42,308,773",-,"42,308,773",,,
Other current assets,Other current assets,Other current assets,"265,015,024",-,"265,015,024",,,
Tangible fixed assets – net,Tangible fixed assets – net,Tangible fixed assets – net,"73,526,033","341,267,272","414,793,305",,,
Intangible fixed assets – net,Intangible fixed assets – net,Intangible fixed assets – net,"19,718,057","30,183,740","49,901,797",,,
Construction in progress,Construction in progress,Construction in progress,"21,070,721",-,"21,070,721",,,
Other long-term assets,Other long-term assets,Other long-term assets,-,"32,524,204","32,524,204",,,
Current liabilities,Current liabilities,Current liabilities,"(232,519,072)",-,"(232,519,072)",,,
Long-term liabilities,Long-term liabilities,Long-term liabilities,"(450,773,420)","(13,402,939)","(464,176,359)",,,
Total net identifiable assets and liabilities,Total net identifiable assets and liabilities,Total net identifiable assets and liabilities,"76,495,305","390,572,277","467,067,582",,,
Negative goodwill (gain from bargain purchase) from business combination,Negative goodwill (gain from bargain purchase) from business combination,Negative goodwill (gain from bargain purchase) from business combination,,,"(117,106,706)",,,
Total cost of business combination,Total cost of business combination,Total cost of business combination,,,"349,960,876",,,
Net cash used for business combination,Net cash used for business combination,Net cash used for business combination,Net cash used for business combination,Net cash used for business combination,Net cash used for business combination,,,
Total cost of business combination,Total cost of business combination,Total cost of business combination,,,"349,960,876",,,
Cash increase from business combination,Cash increase from business combination,Cash increase from business combination,,,"338,149,189",,,
Net cash outflow,Net cash outflow,Net cash outflow,,,"11,811,687",,,
