row_label_raw,row_label_full,col_0,1/1/2023Carrying amount andamount withinrepayment capacity(*)VND’000,AdditionsVND’000,Movement during the year > PaymentsVND’000,Movement during the year > Unrealisedforeign exchangedifferencesVND’000,Movement during the year > Converted foreignexchange differencesVND’000,31/12/2023Carrying amount andamount withinrepayment capacity(*)VND’000,numeric__1/1/2023Carrying amount andamount withinrepayment capacity(*)VND’000,numeric__AdditionsVND’000,numeric__Movement during the year > PaymentsVND’000,numeric__Movement during the year > Unrealisedforeign exchangedifferencesVND’000,numeric__Movement during the year > Converted foreignexchange differencesVND’000,numeric__31/12/2023Carrying amount andamount withinrepayment capacity(*)VND’000
Short-term borrowings,Short-term borrowings,Short-term borrowings,"5,818,241,451","8,823,305,992","(8,908,691,556)","48,100,725","25,543,145","5,806,499,757",,,,,,
Current portion of long-termbonds (Note 21(b)),Current portion of long-termbonds (Note 21(b)),Current portion of long-termbonds (Note 21(b)),"7,287,233,956","2,008,049,961","(7,300,000,000)",-,-,"1,995,283,917",,,,,,
Current portion of long-termborrowings (Note 21(b)),Current portion of long-termborrowings (Note 21(b)),Current portion of long-termborrowings (Note 21(b)),-,"102,812,381","(6,929,605)",-,"(1,548,370)","94,334,406",,,,,,
,,,"13,105,475,407","10,934,168,334","(16,215,621,161)","48,100,725","23,994,775","7,896,118,080",,,,,,
