row_label_raw,row_label_full,col_0,Land VND'000,Software VND'000,Mining rights VND'000,Development cost (*) VND'000,Brand name VND'000,Customer Relationship VND'000,Technologies VND'000,Other intangible assets VND'000,Total VND'000,numeric__Land VND'000,numeric__Software VND'000,numeric__Mining rights VND'000,numeric__Development cost (*) VND'000,numeric__Brand name VND'000,numeric__Customer Relationship VND'000,numeric__Technologies VND'000,numeric__Other intangible assets VND'000,numeric__Total VND'000
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,,,,
Opening balance,Opening balance,Opening balance,"30,896,140","394,777,454","792,655,211","608,152,402","993,568,946","204,053,250","1,370,528,592","24,628,787","4,419,260,782",,,,,,,,,
Increase due to business combination,Increase due to business combination,Increase due to business combination,"8,178,240","29,550,416",-,-,-,-,-,"26,089,889","63,818,545",,,,,,,,,
Additions,Additions,Additions,"4,441,033","3,048,980",-,-,-,-,-,-,"7,490,013",,,,,,,,,
Transfer from construction in progress (Note 15),Transfer from construction in progress (Note 15),Transfer from construction in progress (Note 15),-,"2,378,738",-,-,-,-,-,-,"2,378,738",,,,,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"(2,586,500)","18,547,076",-,"38,082,808","62,217,785","12,777,917","85,823,187","1,538,260","216,400,533",,,,,,,,,
Closing balance,Closing balance,Closing balance,"40,928,913","448,302,664","792,655,211","646,235,210","1,055,786,731","216,831,167","1,456,351,779","52,256,936","4,709,348,611",,,,,,,,,
Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,,,,,,,,,
Opening balance,Opening balance,Opening balance,-,"381,715,882","282,798,144","153,431,976","86,208,719","14,831,190","172,414,472","6,452,215","1,097,852,598",,,,,,,,,
Increase due to business combination,Increase due to business combination,Increase due to business combination,-,"13,916,748",-,-,-,-,-,-,"13,916,748",,,,,,,,,
Charge for the year,Charge for the year,Charge for the year,-,"9,879,509","37,767,190","35,321,464","34,773,458","5,982,362","69,545,719","2,578,065","195,847,767",,,,,,,,,
Currency translation differences,Charge for the year > Currency translation differences,Currency translation differences,-,"18,800,142",-,"10,264,859","6,045,114","1,039,990","12,090,019","333,505","48,573,629",,,,,,,,333.505,
Closing balance,Closing balance,Closing balance,-,"424,312,281","320,565,334","199,018,299","127,027,291","21,853,542","254,050,210","9,363,785","1,356,190,742",,,,,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,,,,
Opening balance,Opening balance,Opening balance,"30,896,140","13,061,572","509,857,067","454,720,426","907,360,227","189,222,060","1,198,114,120","18,176,572","3,321,408,184",,,,,,,,,
Closing balance,Closing balance,Closing balance,"40,928,913","23,990,383","472,089,877","447,216,911","928,759,440","194,977,625","1,202,301,569","42,893,151","3,353,157,869",,,,,,,,,
