row_label_raw,row_label_full,Năm 2023,Đồng Nghìn VND,Fluorit Nghìn VND,Vonfram Nghìn VND,Các bộ phận khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Đồng Nghìn VND,numeric__Fluorit Nghìn VND,numeric__Vonfram Nghìn VND,numeric__Các bộ phận khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,3.941.759,-,9.611.114,-,13.552.873,3941759.0,,9611114.0,,13552873.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,835.849.536,,,,,835849536.0
Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,8.883.751,35.607.108,381.758.148,99.618.406,525.867.413,8883751.0,35607108.0,381758148.0,99618406.0,525867413.0
Khấu hao tài sản cố định và bắt động sản đầu tư không phân bổ,Khấu hao tài sản cố định và bắt động sản đầu tư không phân bổ,Khấu hao tài sản cố định và bắt động sản đầu tư không phân bổ,,,,,784.281.980,,,,,784281980.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,351.977.830,,,,,351977830.0
Năm 2022,Năm 2022,Năm 2022,Đồng Nghìn VND,Fluorit Nghìn VND,Vonfram Nghìn VND,Các bộ phận khác Nghìn VND,Tổng cộng Nghìn VND,,,,,
Chi tiêu vốn của bộ phận,Năm 2022 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,150.046.047,-,651.625.175,-,801.671.222,150046047.0,,651625175.0,,801671222.0
Chi tiêu vốn không phân bổ,Năm 2022 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,528.365.274,,,,,528365274.0
Khấu hao tài sản cố định của bộ phận,Năm 2022 > Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,11.892.120,45.295.587,551.863.213,130.225.998,739.276.918,11892120.0,45295587.0,551863213.0,130225998.0,739276918.0
Khấu hao tài sản cố định và bắt động sản đầu tư không phân bổ,Năm 2022 > Khấu hao tài sản cố định và bắt động sản đầu tư không phân bổ,Khấu hao tài sản cố định và bắt động sản đầu tư không phân bổ,,,,,762.615.645,,,,,762615645.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Năm 2022 > Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,377.236.703,,,,,377236703.0
