row_label_raw,row_label_full,col_0,Code Note,2023 VND'000,2022 VND'000,numeric__Code Note,numeric__2023 VND'000,numeric__2022 VND'000
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Loss before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Loss before tax,Loss before tax,01,"(1,654,012,824)","(22,646,401)",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"1,310,149,393","1,501,892,563",2.0,,
Negative goodwill on acquisition of subsidiary,Adjustments for > Negative goodwill on acquisition of subsidiary,Negative goodwill on acquisition of subsidiary,32,"(117,106,706)",-,32.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"321,512,295","108,590,016",3.0,,
Exchange losses/(gains) arising from revaluation of monetary items denominated in foreign currencies,Adjustments for > Exchange losses/(gains) arising from revaluation of monetary items denominated in foreign currencies,Exchange losses/(gains) arising from revaluation of monetary items denominated in foreign currencies,04,"46,840,188","(59,317,383)",4.0,,
Profits from investing activities,Adjustments for > Profits from investing activities,Profits from investing activities,05,"(20,806,022)","(25,200,709)",5.0,,
Interest expense and borrowing fees,Adjustments for > Interest expense and borrowing fees,Interest expense and borrowing fees,06,"1,556,868,673","1,194,553,796",6.0,,
Operating profit before changes in working capital,Adjustments for > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"1,443,444,997","2,697,871,882",8.0,,
Change in receivables and other assets,Adjustments for > Change in receivables and other assets,Change in receivables and other assets,09,"461,814,748","(338,066,179)",9.0,,
Change in inventories,Adjustments for > Change in inventories,Change in inventories,10,"755,677,928","(946,685,853)",10.0,,
Change in payables and other liabilities,Adjustments for > Change in payables and other liabilities,Change in payables and other liabilities,11,"(1,387,835,277)","772,041,277",11.0,,
Change in prepaid expenses,Adjustments for > Change in prepaid expenses,Change in prepaid expenses,12,"55,823,645","84,860,443",12.0,,
,,,,"1,328,926,041","2,270,021,570",,,
Interest paid,Adjustments for > Interest paid,Interest paid,14,"(1,410,640,810)","(1,096,550,489)",14.0,,
Income tax paid,Adjustments for > Income tax paid,Income tax paid,15,"(74,314,082)","(47,148,344)",15.0,,
Net cash flows from operating activities,Adjustments for > Net cash flows from operating activities,Net cash flows from operating activities,20,"(156,028,851)","1,126,322,737",20.0,,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,
Payments for additions to fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets and other long-term assets,Payments for additions to fixed assets and other long-term assets,21,"(849,402,409)","(1,330,036,496)",21.0,,
Proceeds from disposals of fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets and other long-term assets,Proceeds from disposals of fixed assets and other long-term assets,22,"554,545","3,194,364",22.0,554.545,
Placement for term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Placement for term deposits at banks,Placement for term deposits at banks,23,"(8,110,000)","(8,110,000)",23.0,,
Term deposits received and receipts from collecting loans,CASH FLOWS FROM INVESTING ACTIVITIES > Term deposits received and receipts from collecting loans,Term deposits received and receipts from collecting loans,24,"8,110,000","7,400,000",24.0,,
"Business combination, net of cash acquired","Business combination, net of cash acquired","Business combination, net of cash acquired",,"(11,811,687)",-,,,
Payments for investments in other entities,"Business combination, net of cash acquired > Payments for investments in other entities",Payments for investments in other entities,25,-,"(1,342,363,039)",25.0,,
Receipt of interest,"Business combination, net of cash acquired > Receipt of interest",Receipt of interest,27,"12,336,020","11,632,392",27.0,,
Net cash flows from investing activities,"Business combination, net of cash acquired > Net cash flows from investing activities",Net cash flows from investing activities,30,"(848,323,531)","(2,658,282,779)",30.0,,
