row_label_raw,row_label_full,col_0,2023VND’000,2022VND’000,numeric__2023VND’000,numeric__2022VND’000
Tax penalties,Tax penalties,Tax penalties,"18,015,494","15,000",,15.0
Asset rental expenses,Asset rental expenses,Asset rental expenses,-,"57,590,091",,
Loss from disposal of fixed assets,Loss from disposal of fixed assets,Loss from disposal of fixed assets,-,"3,096,997",,
Others,Others,Others,"23,787,636","36,168,623",,
,,,"41,803,130","96,870,711",,
