row_label_raw,row_label_full,col_0,Prepaid land cost and land compensation costs VND'000,Other mining costs VND'000,Incremental costs of obtaining contract (*) VND'000,Others VND'000,Total VND'000,numeric__Prepaid land cost and land compensation costs VND'000,numeric__Other mining costs VND'000,numeric__Incremental costs of obtaining contract (*) VND'000,numeric__Others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"1,297,902,046","1,770,217,100","130,853,798","147,187,874","3,346,160,818",,,,,
Additions,Additions,Additions,"1,807,559","208,507,283",-,"71,767,833","282,082,675",,,,,
Transfer from construction in progress (Note 15),Transfer from construction in progress (Note 15),Transfer from construction in progress (Note 15),-,-,-,"7,428,168","7,428,168",,,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,"(72,422,962)","(157,607,425)","(18,606,248)","(103,341,195)","(351,977,830)",,,,,
Closing balance,Closing balance,Closing balance,"1,227,286,643","1,821,116,958","112,247,550","123,042,680","3,283,693,831",,,,,
