row_label_raw,row_label_full,col_0,Code,Note,2023 VND’000,2022 VND’000,numeric__Code,numeric__Note,numeric__2023 VND’000,numeric__2022 VND’000
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,,"14,107,033,218","15,562,992,329",1.0,,,
Revenue deductions,Revenue deductions,Revenue deductions,02,,"13,779,731","13,444,675",2.0,,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,27,"14,093,253,487","15,549,547,654",10.0,27.0,,
Cost of sales,Cost of sales,Cost of sales,11,,"13,308,967,243","13,172,693,544",11.0,,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"784,286,244","2,376,854,110",20.0,,,
Financial income,Financial income,Financial income,21,28,"485,311,318","470,233,836",21.0,28.0,,
Financial expenses,Financial expenses,Financial expenses,22,29,"2,195,843,856","1,917,493,323",22.0,29.0,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"1,503,015,894","1,119,988,084",23.0,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,24,,"9,709,924","13,938,538",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,30,"377,179,568","452,974,941",25.0,30.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,31,"499,572,488","587,976,843",26.0,31.0,,
Net operating loss{30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating loss{30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating loss{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,"(1,793,288,426)","(97,418,623)",30.0,,,
Other income,Other income,Other income,31,32,"181,078,732","171,642,933",31.0,32.0,,
Other expenses,Other expenses,Other expenses,32,33,"41,803,130","96,870,711",32.0,33.0,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"139,275,602","74,772,222",40.0,,,
Accounting loss before tax(50 = 30 + 40),Accounting loss before tax(50 = 30 + 40),Accounting loss before tax(50 = 30 + 40),50,,"(1,654,012,824)","(22,646,401)",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,34,"56,989,769","45,262,566",51.0,34.0,,
Income tax benefit – deferred,Income tax benefit – deferred,Income tax benefit – deferred,52,34,"(181,391,892)","(173,060,025)",52.0,34.0,,
Net (loss)/profit after tax(60 = 50 - 51 - 52)(carried forward to next page),Net (loss)/profit after tax(60 = 50 - 51 - 52)(carried forward to next page),Net (loss)/profit after tax(60 = 50 - 51 - 52)(carried forward to next page),60,,"(1,529,610,701)","105,151,058",60.0,,,
